CNTNAP4	35
COL5A2	35
CTNNB1	35
CUL9	35
DAPK1	35
DIDO1	35
DISP3	35
DOCK5	35
EPHA3	35
GRIA2	35
GRM7	35
GTF3C1	35
HDAC9	35
KCNH7	35
LYST	35
MED12L	35
MYH14	35
MYH7	35
MYH8	35
MYO5A	35
NF1	35
NLRP7	35
PKD1	35
PKD1L1	35
PKDREJ	35
PLCG2	35
POLE	35
POLQ	35
PRUNE2	35
PTEN	35
PTPN13	35
SPEN	35
TCERG1	35
TENM4	35
THSD7A	35
TRPM3	35
ACACB	34
ADAMTS12	34
ADAMTS18	34
CACNA1F	34
CADPS	34
CDK12	34
CELSR2	34
COL14A1	34
COL1A2	34
COL4A1	34
DOCK8	34
GREB1	34
HRNR	34
ITPR2	34
MGAM	34
MIDEAS	34
MPDZ	34
MYH6	34
NCOR2	34
NEXMIF	34
NLRC5	34
NOTCH3	34
NPAP1	34
NYAP2	34
PCDHB7	34
PLXNA1	34
PTPRM	34
RANBP2	34
SFMBT2	34
SHPRH	34
SLITRK5	34
TCHH	34
TET1	34
TRPM6	34
UGGT2	34
USF3	34
WDFY3	34
ADAMTS9	33
ADAMTSL1	33
ADCY2	33
ADGRB1	33
AKAP13	33
ALK	33
ARHGAP21	33
ASTN2	33
CACNA2D3	33
CCDC73	33
CDH18	33
CHD5	33
DAAM2	33
ENAM	33
EP300	33
FER1L6	33
FILIP1	33
FLRT2	33
FRMPD1	33
GABRA5	33
GRM5	33
HELZ2	33
HSPG2	33
ICE1	33
IRS4	33
KIAA1217	33
LAMA4	33
LARP4B	33
MTUS2	33
MYH11	33
MYH13	33
MYO7A	33
NSD1	33
NUGGC	33
PCDHA6	33
SHANK1	33
SIPA1L1	33
SLC4A3	33
SLIT1	33
SPTBN1	33
STAB2	33
SYCP2	33
TCF20	33
TULP4	33
VPS13D	33
ZNF518A	33
ZNF804A	33
ABCA2	32
ATG2B	32
AXIN2	32
BRINP3	32
CACNA1G	32
CALD1	32
CDH12	32
CDH2	32
CFH	32
COL4A4	32
DCLK1	32
DPP10	32
FASN	32
FLNB	32
FLT4	32
FSTL5	32
GRIA1	32
GRIK3	32
HECW2	32
KIF1A	32
NBEAL2	32
NCOR1	32
NRK	32
PCDHA11	32
PCDHB2	32
PHIP	32
PLXNB3	32
SETD2	32
SMARCAD1	32
SPTBN2	32
TNN	32
TRHDE	32
TSHZ2	32
ZAN	32
ZC3H18	32
ZFYVE26	32
ZNF521	32
ABCC1	31
ARID1B	31
ATG2A	31
C3	31
CACNA1D	31
CHD3	31
CHL1	31
CIC	31
COL18A1	31
