Gene	COAD_cases	COAD_percent	READ_cases	READ_percent	Difference_percent_points	Absolute_difference
TP53	234	57.92079207920792	111	80.43478260869566	-22.513990529487735	22.513990529487735
PIK3CA	127	31.43564356435644	22	15.942028985507246	15.493614578849193	15.493614578849193
APC	307	75.99009900990099	125	90.57971014492752	-14.58961113502653	14.58961113502653
BRAF	62	15.346534653465346	5	3.6231884057971016	11.723346247668244	11.723346247668244
NRAS	21	5.198019801980198	15	10.869565217391305	-5.6715454154111065	5.6715454154111065
SMAD4	47	11.633663366336634	23	16.666666666666668	-5.033003300330034	5.033003300330034
FBXW7	71	17.574257425742573	26	18.84057971014493	-1.2663222844023565	1.2663222844023565
KRAS	183	45.2970297029703	63	45.65217391304348	-0.35514421007317765	0.35514421007317765
