Gene1	Gene2	Cooccurring_Cases
APC	TP53	290
APC	KRAS	203
APC	PIK3CA	114
APC	FBXW7	74
APC	SMAD4	53
APC	BRAF	27
APC	NRAS	33
TP53	KRAS	138
TP53	PIK3CA	65
TP53	FBXW7	52
TP53	SMAD4	40
TP53	BRAF	25
TP53	NRAS	21
KRAS	PIK3CA	86
KRAS	FBXW7	45
KRAS	SMAD4	38
KRAS	BRAF	6
KRAS	NRAS	5
PIK3CA	FBXW7	35
PIK3CA	SMAD4	28
PIK3CA	BRAF	24
PIK3CA	NRAS	7
FBXW7	SMAD4	10
FBXW7	BRAF	22
FBXW7	NRAS	8
SMAD4	BRAF	10
SMAD4	NRAS	6
BRAF	NRAS	2
