01240896-3f3f-4bf9-9799-55c87bfacf36	EEFSEC
01240896-3f3f-4bf9-9799-55c87bfacf36	FCGBP
01240896-3f3f-4bf9-9799-55c87bfacf36	FRG2B
01240896-3f3f-4bf9-9799-55c87bfacf36	FRMD7
01240896-3f3f-4bf9-9799-55c87bfacf36	FSIP2
01240896-3f3f-4bf9-9799-55c87bfacf36	G6PD
01240896-3f3f-4bf9-9799-55c87bfacf36	GCC1
01240896-3f3f-4bf9-9799-55c87bfacf36	GLE1
01240896-3f3f-4bf9-9799-55c87bfacf36	GRID1
01240896-3f3f-4bf9-9799-55c87bfacf36	GSE1
01240896-3f3f-4bf9-9799-55c87bfacf36	H4C12
01240896-3f3f-4bf9-9799-55c87bfacf36	HELZ2
01240896-3f3f-4bf9-9799-55c87bfacf36	HERC5
01240896-3f3f-4bf9-9799-55c87bfacf36	HS3ST3A1
01240896-3f3f-4bf9-9799-55c87bfacf36	IGSF10
01240896-3f3f-4bf9-9799-55c87bfacf36	IGSF9B
01240896-3f3f-4bf9-9799-55c87bfacf36	INKA2
01240896-3f3f-4bf9-9799-55c87bfacf36	KIAA1109
01240896-3f3f-4bf9-9799-55c87bfacf36	KLK13
01240896-3f3f-4bf9-9799-55c87bfacf36	KRAS
01240896-3f3f-4bf9-9799-55c87bfacf36	LRBA
01240896-3f3f-4bf9-9799-55c87bfacf36	LRP2
01240896-3f3f-4bf9-9799-55c87bfacf36	LRRC7
01240896-3f3f-4bf9-9799-55c87bfacf36	LY75
01240896-3f3f-4bf9-9799-55c87bfacf36	MAGEA6
01240896-3f3f-4bf9-9799-55c87bfacf36	MEF2A
01240896-3f3f-4bf9-9799-55c87bfacf36	MIIP
01240896-3f3f-4bf9-9799-55c87bfacf36	MRGPRX2
01240896-3f3f-4bf9-9799-55c87bfacf36	MUC5B
01240896-3f3f-4bf9-9799-55c87bfacf36	MYH8
01240896-3f3f-4bf9-9799-55c87bfacf36	N4BP2
01240896-3f3f-4bf9-9799-55c87bfacf36	NALCN
01240896-3f3f-4bf9-9799-55c87bfacf36	NDUFAF7
01240896-3f3f-4bf9-9799-55c87bfacf36	NLRP7
01240896-3f3f-4bf9-9799-55c87bfacf36	OBSCN
01240896-3f3f-4bf9-9799-55c87bfacf36	OR5R1
01240896-3f3f-4bf9-9799-55c87bfacf36	PCDHA6
01240896-3f3f-4bf9-9799-55c87bfacf36	PCDHGB3
01240896-3f3f-4bf9-9799-55c87bfacf36	PCLO
01240896-3f3f-4bf9-9799-55c87bfacf36	PIK3R3
01240896-3f3f-4bf9-9799-55c87bfacf36	PLOD1
01240896-3f3f-4bf9-9799-55c87bfacf36	PTPRK
01240896-3f3f-4bf9-9799-55c87bfacf36	RBMXL2
01240896-3f3f-4bf9-9799-55c87bfacf36	ROR2
01240896-3f3f-4bf9-9799-55c87bfacf36	SETD1A
01240896-3f3f-4bf9-9799-55c87bfacf36	SETX
01240896-3f3f-4bf9-9799-55c87bfacf36	SFMBT1
01240896-3f3f-4bf9-9799-55c87bfacf36	SNRNP70
01240896-3f3f-4bf9-9799-55c87bfacf36	SPART
01240896-3f3f-4bf9-9799-55c87bfacf36	SRCAP
01240896-3f3f-4bf9-9799-55c87bfacf36	STAC
01240896-3f3f-4bf9-9799-55c87bfacf36	SUPT20HL2
01240896-3f3f-4bf9-9799-55c87bfacf36	TAF1A
01240896-3f3f-4bf9-9799-55c87bfacf36	TCERG1L
01240896-3f3f-4bf9-9799-55c87bfacf36	TMEM104
01240896-3f3f-4bf9-9799-55c87bfacf36	TP53
01240896-3f3f-4bf9-9799-55c87bfacf36	TTC21B
01240896-3f3f-4bf9-9799-55c87bfacf36	TTLL5
01240896-3f3f-4bf9-9799-55c87bfacf36	TTN
01240896-3f3f-4bf9-9799-55c87bfacf36	VWA1
01240896-3f3f-4bf9-9799-55c87bfacf36	VWCE
01240896-3f3f-4bf9-9799-55c87bfacf36	ZDHHC1
01240896-3f3f-4bf9-9799-55c87bfacf36	ZNF500
016c9c14-4c88-49f5-a11a-dd4bc282f11e	AK1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	AKAP6
016c9c14-4c88-49f5-a11a-dd4bc282f11e	AMBRA1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	ANKDD1A
016c9c14-4c88-49f5-a11a-dd4bc282f11e	APC
016c9c14-4c88-49f5-a11a-dd4bc282f11e	ASB12
016c9c14-4c88-49f5-a11a-dd4bc282f11e	BAIAP3
016c9c14-4c88-49f5-a11a-dd4bc282f11e	CD8A
016c9c14-4c88-49f5-a11a-dd4bc282f11e	COL7A1
016c9c14-4c88-49f5-a11a-dd4bc282f11e	CPNE4
016c9c14-4c88-49f5-a11a-dd4bc282f11e	CSMD3
016c9c14-4c88-49f5-a11a-dd4bc282f11e	CUL7
016c9c14-4c88-49f5-a11a-dd4bc282f11e	DCBLD1
