Gene	COAD_cases	COAD_percent	READ_cases	READ_percent	Total_cases	Overall_percent
DOCK2	38	8.8785	12	7.74194	50	8.57633
FNDC1	42	9.81308	8	5.16129	50	8.57633
MUC17	42	9.81308	8	5.16129	50	8.57633
PCDH11X	40	9.34579	10	6.45161	50	8.57633
PDZD2	40	9.34579	10	6.45161	50	8.57633
PKHD1	39	9.11215	11	7.09677	50	8.57633
VCAN	39	9.11215	11	7.09677	50	8.57633
ASH1L	40	9.34579	9	5.80645	49	8.4048
ATP10A	39	9.11215	10	6.45161	49	8.4048
COL5A1	46	10.7477	3	1.93548	49	8.4048
FBN3	39	9.11215	10	6.45161	49	8.4048
FRYL	41	9.57944	8	5.16129	49	8.4048
GRIK2	41	9.57944	8	5.16129	49	8.4048
LAMA1	44	10.2804	5	3.22581	49	8.4048
UNC79	43	10.0467	6	3.87097	49	8.4048
DCHS1	40	9.34579	8	5.16129	48	8.23328
FLNC	44	10.2804	4	2.58065	48	8.23328
GRIN2A	37	8.64486	11	7.09677	48	8.23328
IGF2R	43	10.0467	5	3.22581	48	8.23328
LRRIQ1	38	8.8785	10	6.45161	48	8.23328
NIPBL	42	9.81308	6	3.87097	48	8.23328
PCDH10	43	10.0467	5	3.22581	48	8.23328
SCN1A	43	10.0467	5	3.22581	48	8.23328
VWF	39	9.11215	9	5.80645	48	8.23328
ZDBF2	39	9.11215	9	5.80645	48	8.23328
ZNF831	42	9.81308	6	3.87097	48	8.23328
ABCA12	36	8.41121	11	7.09677	47	8.06175
AHNAK	39	9.11215	8	5.16129	47	8.06175
BCL9	36	8.41121	11	7.09677	47	8.06175
BCL9L	37	8.64486	10	6.45161	47	8.06175
COL6A6	40	9.34579	7	4.51613	47	8.06175
CREBBP	40	9.34579	7	4.51613	47	8.06175
DNAH1	42	9.81308	5	3.22581	47	8.06175
FBN1	36	8.41121	11	7.09677	47	8.06175
LAMA5	38	8.8785	9	5.80645	47	8.06175
NFASC	44	10.2804	3	1.93548	47	8.06175
PAPPA2	38	8.8785	9	5.80645	47	8.06175
PXDN	38	8.8785	9	5.80645	47	8.06175
SCN9A	37	8.64486	10	6.45161	47	8.06175
TAF1L	39	9.11215	8	5.16129	47	8.06175
TNC	42	9.81308	5	3.22581	47	8.06175
CMYA5	36	8.41121	10	6.45161	46	7.89022
COL27A1	40	9.34579	6	3.87097	46	7.89022
COL7A1	39	9.11215	7	4.51613	46	7.89022
FRAS1	39	9.11215	7	4.51613	46	7.89022
MAP2	37	8.64486	9	5.80645	46	7.89022
MEGF8	39	9.11215	7	4.51613	46	7.89022
RIMS2	40	9.34579	6	3.87097	46	7.89022
TECTA	39	9.11215	7	4.51613	46	7.89022
CACNA1A	38	8.8785	7	4.51613	45	7.7187
CACNA1H	41	9.57944	4	2.58065	45	7.7187
CDH9	34	7.94393	11	7.09677	45	7.7187
CHD7	41	9.57944	4	2.58065	45	7.7187
CNOT1	38	8.8785	7	4.51613	45	7.7187
FN1	35	8.17757	10	6.45161	45	7.7187
MYO3A	34	7.94393	11	7.09677	45	7.7187
OTOGL	33	7.71028	12	7.74194	45	7.7187
PLXNA4	41	9.57944	4	2.58065	45	7.7187
ROS1	38	8.8785	7	4.51613	45	7.7187
SCN5A	37	8.64486	8	5.16129	45	7.7187
TENM2	36	8.41121	9	5.80645	45	7.7187
TEX15	35	8.17757	10	6.45161	45	7.7187
TNR	37	8.64486	8	5.16129	45	7.7187
ADAMTS16	35	8.17757	9	5.80645	44	7.54717
ADGRL3	34	7.94393	10	6.45161	44	7.54717
F8	34	7.94393	10	6.45161	44	7.54717
PKHD1L1	36	8.41121	8	5.16129	44	7.54717
PLEC	40	9.34579	4	2.58065	44	7.54717
SPEG	37	8.64486	7	4.51613	44	7.54717
TRRAP	37	8.64486	7	4.51613	44	7.54717
ZNF804B	32	7.47664	12	7.74194	44	7.54717
ABCA1	38	8.8785	5	3.22581	43	7.37564
ANKRD11	39	9.11215	4	2.58065	43	7.37564
BIRC6	36	8.41121	7	4.51613	43	7.37564
CDH10	40	9.34579	3	1.93548	43	7.37564
CELSR1	39	9.11215	4	2.58065	43	7.37564
DSEL	33	7.71028	10	6.45161	43	7.37564
DYNC1H1	35	8.17757	8	5.16129	43	7.37564
LRRC7	32	7.47664	11	7.09677	43	7.37564
MAGEC1	36	8.41121	7	4.51613	43	7.37564
MKI67	34	7.94393	9	5.80645	43	7.37564
MYO18B	36	8.41121	7	4.51613	43	7.37564
PCDHA12	33	7.71028	10	6.45161	43	7.37564
PEG3	31	7.24299	12	7.74194	43	7.37564
SCN11A	34	7.94393	9	5.80645	43	7.37564
TG	33	7.71028	10	6.45161	43	7.37564
VPS13A	37	8.64486	6	3.87097	43	7.37564
AKAP12	36	8.41121	6	3.87097	42	7.20412
BRCA2	32	7.47664	10	6.45161	42	7.20412
COL22A1	36	8.41121	6	3.87097	42	7.20412
DCC	34	7.94393	8	5.16129	42	7.20412
FBN2	37	8.64486	5	3.22581	42	7.20412
HUWE1	34	7.94393	8	5.16129	42	7.20412
IGSF9B	39	9.11215	3	1.93548	42	7.20412
KCNB2	32	7.47664	10	6.45161	42	7.20412
KMT2A	39	9.11215	3	1.93548	42	7.20412
NOS1	34	7.94393	8	5.16129	42	7.20412
PCDHB8	35	8.17757	7	4.51613	42	7.20412
PXDNL	33	7.71028	9	5.80645	42	7.20412
SCN7A	33	7.71028	9	5.80645	42	7.20412
