Gene	COAD_cases	COAD_percent	READ_cases	READ_percent	Total_cases	Overall_percent
CEP85L	18	4.20561	3	1.93548	21	3.60206
CFAP54	17	3.97196	4	2.58065	21	3.60206
CFAP61	16	3.73832	5	3.22581	21	3.60206
CIT	16	3.73832	5	3.22581	21	3.60206
CLSTN1	20	4.6729	1	0.645161	21	3.60206
COLEC12	17	3.97196	4	2.58065	21	3.60206
CPSF1	19	4.43925	2	1.29032	21	3.60206
CRYBG1	18	4.20561	3	1.93548	21	3.60206
CSPG4	19	4.43925	2	1.29032	21	3.60206
CTNND1	17	3.97196	4	2.58065	21	3.60206
CUL1	18	4.20561	3	1.93548	21	3.60206
DCTN1	18	4.20561	3	1.93548	21	3.60206
DDX58	19	4.43925	2	1.29032	21	3.60206
DENND5B	17	3.97196	4	2.58065	21	3.60206
DIAPH3	16	3.73832	5	3.22581	21	3.60206
DOCK6	19	4.43925	2	1.29032	21	3.60206
DOCK7	16	3.73832	5	3.22581	21	3.60206
DYNC2I1	18	4.20561	3	1.93548	21	3.60206
E2F7	18	4.20561	3	1.93548	21	3.60206
ECPAS	17	3.97196	4	2.58065	21	3.60206
EEA1	15	3.50467	6	3.87097	21	3.60206
EGR2	17	3.97196	4	2.58065	21	3.60206
ESR1	15	3.50467	6	3.87097	21	3.60206
FAM83B	17	3.97196	4	2.58065	21	3.60206
FANCA	19	4.43925	2	1.29032	21	3.60206
FASTKD3	17	3.97196	4	2.58065	21	3.60206
FGF13	14	3.27103	7	4.51613	21	3.60206
FOLH1	17	3.97196	4	2.58065	21	3.60206
FSHR	14	3.27103	7	4.51613	21	3.60206
GABRB3	14	3.27103	7	4.51613	21	3.60206
GFRA1	15	3.50467	6	3.87097	21	3.60206
GLDC	16	3.73832	5	3.22581	21	3.60206
GOLGA3	19	4.43925	2	1.29032	21	3.60206
GRIA3	14	3.27103	7	4.51613	21	3.60206
HDX	18	4.20561	3	1.93548	21	3.60206
HELZ	18	4.20561	3	1.93548	21	3.60206
HIVEP1	17	3.97196	4	2.58065	21	3.60206
HTR2C	17	3.97196	4	2.58065	21	3.60206
INHBA	17	3.97196	4	2.58065	21	3.60206
INPP5D	16	3.73832	5	3.22581	21	3.60206
ITGA7	20	4.6729	1	0.645161	21	3.60206
ITGAD	18	4.20561	3	1.93548	21	3.60206
ITGAV	16	3.73832	5	3.22581	21	3.60206
JARID2	19	4.43925	2	1.29032	21	3.60206
KCND2	18	4.20561	3	1.93548	21	3.60206
KCNS2	15	3.50467	6	3.87097	21	3.60206
KIF16B	16	3.73832	5	3.22581	21	3.60206
KLHL1	17	3.97196	4	2.58065	21	3.60206
KLHL34	20	4.6729	1	0.645161	21	3.60206
MAP10	17	3.97196	4	2.58065	21	3.60206
MAP4K4	18	4.20561	3	1.93548	21	3.60206
MASP1	17	3.97196	4	2.58065	21	3.60206
MCHR2	18	4.20561	3	1.93548	21	3.60206
MCM4	18	4.20561	3	1.93548	21	3.60206
MEI1	19	4.43925	2	1.29032	21	3.60206
MGAT4C	16	3.73832	5	3.22581	21	3.60206
MMP9	18	4.20561	3	1.93548	21	3.60206
MUC2	20	4.6729	1	0.645161	21	3.60206
MVK	20	4.6729	1	0.645161	21	3.60206
NEURL4	19	4.43925	2	1.29032	21	3.60206
NOL4	16	3.73832	5	3.22581	21	3.60206
NPAS4	17	3.97196	4	2.58065	21	3.60206
NTRK2	19	4.43925	2	1.29032	21	3.60206
NUP133	17	3.97196	4	2.58065	21	3.60206
PAPLN	17	3.97196	4	2.58065	21	3.60206
PATJ	16	3.73832	5	3.22581	21	3.60206
PAXIP1	17	3.97196	4	2.58065	21	3.60206
PCDHB10	17	3.97196	4	2.58065	21	3.60206
PCDHGA1	19	4.43925	2	1.29032	21	3.60206
PCDHGA4	19	4.43925	2	1.29032	21	3.60206
PCNX3	18	4.20561	3	1.93548	21	3.60206
PEAR1	18	4.20561	3	1.93548	21	3.60206
PHLDB2	18	4.20561	3	1.93548	21	3.60206
PHLPP1	18	4.20561	3	1.93548	21	3.60206
PLK1	16	3.73832	5	3.22581	21	3.60206
PRG4	16	3.73832	5	3.22581	21	3.60206
PTPRG	19	4.43925	2	1.29032	21	3.60206
RAI1	21	4.90654	0	0	21	3.60206
RASGRP3	15	3.50467	6	3.87097	21	3.60206
RBM33	17	3.97196	4	2.58065	21	3.60206
REV1	16	3.73832	5	3.22581	21	3.60206
RNF40	18	4.20561	3	1.93548	21	3.60206
SALL2	20	4.6729	1	0.645161	21	3.60206
SEL1L2	14	3.27103	7	4.51613	21	3.60206
SEMA3C	18	4.20561	3	1.93548	21	3.60206
SHANK2	20	4.6729	1	0.645161	21	3.60206
SHROOM3	19	4.43925	2	1.29032	21	3.60206
SIM1	16	3.73832	5	3.22581	21	3.60206
SLC12A6	17	3.97196	4	2.58065	21	3.60206
SLC1A6	16	3.73832	5	3.22581	21	3.60206
SLC39A10	17	3.97196	4	2.58065	21	3.60206
SLC44A5	19	4.43925	2	1.29032	21	3.60206
SLC6A15	15	3.50467	6	3.87097	21	3.60206
SLCO1B3	18	4.20561	3	1.93548	21	3.60206
SMC1A	19	4.43925	2	1.29032	21	3.60206
SNTG1	19	4.43925	2	1.29032	21	3.60206
SON	15	3.50467	6	3.87097	21	3.60206
SOS1	16	3.73832	5	3.22581	21	3.60206
SOX6	16	3.73832	5	3.22581	21	3.60206
SPINK5	17	3.97196	4	2.58065	21	3.60206
STARD8	17	3.97196	4	2.58065	21	3.60206
STOX2	19	4.43925	2	1.29032	21	3.60206
SUPT6H	20	4.6729	1	0.645161	21	3.60206
SYNGAP1	17	3.97196	4	2.58065	21	3.60206
TASOR2	17	3.97196	4	2.58065	21	3.60206
TBX3	18	4.20561	3	1.93548	21	3.60206
TNKS	18	4.20561	3	1.93548	21	3.60206
TPP2	18	4.20561	3	1.93548	21	3.60206
TRDN	18	4.20561	3	1.93548	21	3.60206
TRIM24	16	3.73832	5	3.22581	21	3.60206
TRIM9	17	3.97196	4	2.58065	21	3.60206
TRPV6	16	3.73832	5	3.22581	21	3.60206
TSSK1B	19	4.43925	2	1.29032	21	3.60206
TUBGCP3	18	4.20561	3	1.93548	21	3.60206
UHRF1BP1	18	4.20561	3	1.93548	21	3.60206
UNC45B	18	4.20561	3	1.93548	21	3.60206
USP29	17	3.97196	4	2.58065	21	3.60206
USP48	18	4.20561	3	1.93548	21	3.60206
VRTN	18	4.20561	3	1.93548	21	3.60206
WDR35	16	3.73832	5	3.22581	21	3.60206
WDTC1	17	3.97196	4	2.58065	21	3.60206
WNK4	21	4.90654	0	0	21	3.60206
ZBTB41	17	3.97196	4	2.58065	21	3.60206
ZFAT	16	3.73832	5	3.22581	21	3.60206
ZFR	15	3.50467	6	3.87097	21	3.60206
ZMYM6	20	4.6729	1	0.645161	21	3.60206
ZNF106	17	3.97196	4	2.58065	21	3.60206
ZNF334	17	3.97196	4	2.58065	21	3.60206
ZNF451	16	3.73832	5	3.22581	21	3.60206
ZNF471	15	3.50467	6	3.87097	21	3.60206
ZNF516	18	4.20561	3	1.93548	21	3.60206
ABCC2	12	2.80374	8	5.16129	20	3.43053
ABCC4	18	4.20561	2	1.29032	20	3.43053
ABCC9	15	3.50467	5	3.22581	20	3.43053
ADAMTS13	19	4.43925	1	0.645161	20	3.43053
ADAMTS3	15	3.50467	5	3.22581	20	3.43053
ADAMTSL4	16	3.73832	4	2.58065	20	3.43053
ADCY10	16	3.73832	4	2.58065	20	3.43053
AK9	18	4.20561	2	1.29032	20	3.43053
ALPK1	15	3.50467	5	3.22581	20	3.43053
AMPD1	14	3.27103	6	3.87097	20	3.43053
ANKAR	16	3.73832	4	2.58065	20	3.43053
ANKRD17	16	3.73832	4	2.58065	20	3.43053
ANO5	15	3.50467	5	3.22581	20	3.43053
ARHGAP28	18	4.20561	2	1.29032	20	3.43053
ARHGAP32	16	3.73832	4	2.58065	20	3.43053
ARHGAP33	19	4.43925	1	0.645161	20	3.43053
ARHGEF1	18	4.20561	2	1.29032	20	3.43053
ARHGEF40	19	4.43925	1	0.645161	20	3.43053
ATP9A	18	4.20561	2	1.29032	20	3.43053
BAZ2B	17	3.97196	3	1.93548	20	3.43053
BRD4	19	4.43925	1	0.645161	20	3.43053
BRINP2	15	3.50467	5	3.22581	20	3.43053
BRIP1	16	3.73832	4	2.58065	20	3.43053
CASR	16	3.73832	4	2.58065	20	3.43053
CATSPERD	18	4.20561	2	1.29032	20	3.43053
CC2D1A	18	4.20561	2	1.29032	20	3.43053
CCDC171	15	3.50467	5	3.22581	20	3.43053
CCT8L2	16	3.73832	4	2.58065	20	3.43053
CDH19	15	3.50467	5	3.22581	20	3.43053
CFAP69	16	3.73832	4	2.58065	20	3.43053
CHRM3	18	4.20561	2	1.29032	20	3.43053
CLTCL1	16	3.73832	4	2.58065	20	3.43053
CNBD1	15	3.50467	5	3.22581	20	3.43053
CNGB1	19	4.43925	1	0.645161	20	3.43053
CNTN3	15	3.50467	5	3.22581	20	3.43053
COL9A1	17	3.97196	3	1.93548	20	3.43053
CORIN	16	3.73832	4	2.58065	20	3.43053
CR2	16	3.73832	4	2.58065	20	3.43053
CWF19L2	16	3.73832	4	2.58065	20	3.43053
DAB1	17	3.97196	3	1.93548	20	3.43053
DDI1	17	3.97196	3	1.93548	20	3.43053
DDX27	17	3.97196	3	1.93548	20	3.43053
DGKB	16	3.73832	4	2.58065	20	3.43053
DGKD	17	3.97196	3	1.93548	20	3.43053
DGKI	15	3.50467	5	3.22581	20	3.43053
DHX36	13	3.03738	7	4.51613	20	3.43053
DHX38	17	3.97196	3	1.93548	20	3.43053
DZIP1L	18	4.20561	2	1.29032	20	3.43053
EEF1AKMT4-ECE2	16	3.73832	4	2.58065	20	3.43053
EFEMP1	18	4.20561	2	1.29032	20	3.43053
ELP1	18	4.20561	2	1.29032	20	3.43053
EPHB6	16	3.73832	4	2.58065	20	3.43053
ERBB2	13	3.03738	7	4.51613	20	3.43053
ERN2	17	3.97196	3	1.93548	20	3.43053
EVI5	15	3.50467	5	3.22581	20	3.43053
EXOC1	18	4.20561	2	1.29032	20	3.43053
EXOC4	16	3.73832	4	2.58065	20	3.43053
EXOC6B	13	3.03738	7	4.51613	20	3.43053
FAM135A	14	3.27103	6	3.87097	20	3.43053
FER	15	3.50467	5	3.22581	20	3.43053
FGA	13	3.03738	7	4.51613	20	3.43053
FGD1	17	3.97196	3	1.93548	20	3.43053
FHDC1	16	3.73832	4	2.58065	20	3.43053
FZD10	17	3.97196	3	1.93548	20	3.43053
GABRG3	19	4.43925	1	0.645161	20	3.43053
GAPVD1	15	3.50467	5	3.22581	20	3.43053
GBF1	16	3.73832	4	2.58065	20	3.43053
GIGYF1	20	4.6729	0	0	20	3.43053
GPATCH8	18	4.20561	2	1.29032	20	3.43053
GPR37	15	3.50467	5	3.22581	20	3.43053
GRIN3A	16	3.73832	4	2.58065	20	3.43053
GUF1	17	3.97196	3	1.93548	20	3.43053
HCFC2	17	3.97196	3	1.93548	20	3.43053
HDAC4	19	4.43925	1	0.645161	20	3.43053
HIP1R	17	3.97196	3	1.93548	20	3.43053
HK3	16	3.73832	4	2.58065	20	3.43053
HPSE2	17	3.97196	3	1.93548	20	3.43053
HSPA2	18	4.20561	2	1.29032	20	3.43053
IL1RAPL1	15	3.50467	5	3.22581	20	3.43053
IMPG2	15	3.50467	5	3.22581	20	3.43053
IQGAP3	18	4.20561	2	1.29032	20	3.43053
IRX1	17	3.97196	3	1.93548	20	3.43053
ITGAM	16	3.73832	4	2.58065	20	3.43053
ITGB2	17	3.97196	3	1.93548	20	3.43053
JADE1	18	4.20561	2	1.29032	20	3.43053
KCNH4	15	3.50467	5	3.22581	20	3.43053
KIAA0232	14	3.27103	6	3.87097	20	3.43053
KIAA0319L	19	4.43925	1	0.645161	20	3.43053
KIAA1210	14	3.27103	6	3.87097	20	3.43053
KIRREL2	14	3.27103	6	3.87097	20	3.43053
KNDC1	16	3.73832	4	2.58065	20	3.43053
LIPE	16	3.73832	4	2.58065	20	3.43053
LRP5	17	3.97196	3	1.93548	20	3.43053
LRRC4C	12	2.80374	8	5.16129	20	3.43053
MACC1	15	3.50467	5	3.22581	20	3.43053
MAP1S	18	4.20561	2	1.29032	20	3.43053
MAP3K13	18	4.20561	2	1.29032	20	3.43053
MAPK8IP3	18	4.20561	2	1.29032	20	3.43053
MCTP1	16	3.73832	4	2.58065	20	3.43053
MED1	15	3.50467	5	3.22581	20	3.43053
MIS18BP1	15	3.50467	5	3.22581	20	3.43053
MITF	14	3.27103	6	3.87097	20	3.43053
MMS22L	16	3.73832	4	2.58065	20	3.43053
MPO	15	3.50467	5	3.22581	20	3.43053
MPRIP	18	4.20561	2	1.29032	20	3.43053
MROH5	19	4.43925	1	0.645161	20	3.43053
MYH10	16	3.73832	4	2.58065	20	3.43053
MYO3B	16	3.73832	4	2.58065	20	3.43053
NAA25	16	3.73832	4	2.58065	20	3.43053
NCOA1	17	3.97196	3	1.93548	20	3.43053
NEDD4	17	3.97196	3	1.93548	20	3.43053
NEK10	16	3.73832	4	2.58065	20	3.43053
NEO1	15	3.50467	5	3.22581	20	3.43053
NETO1	14	3.27103	6	3.87097	20	3.43053
NFATC4	16	3.73832	4	2.58065	20	3.43053
NLRP11	14	3.27103	6	3.87097	20	3.43053
NLRP9	18	4.20561	2	1.29032	20	3.43053
NMUR2	16	3.73832	4	2.58065	20	3.43053
NOS2	18	4.20561	2	1.29032	20	3.43053
NR4A2	17	3.97196	3	1.93548	20	3.43053
NUAK1	20	4.6729	0	0	20	3.43053
OAS2	16	3.73832	4	2.58065	20	3.43053
OGDHL	16	3.73832	4	2.58065	20	3.43053
PAK5	16	3.73832	4	2.58065	20	3.43053
PCARE	18	4.20561	2	1.29032	20	3.43053
PCDHA10	16	3.73832	4	2.58065	20	3.43053
PCDHAC1	16	3.73832	4	2.58065	20	3.43053
PCDHB1	18	4.20561	2	1.29032	20	3.43053
PCDHGB2	14	3.27103	6	3.87097	20	3.43053
PDHA2	15	3.50467	5	3.22581	20	3.43053
PHF14	12	2.80374	8	5.16129	20	3.43053
PHKA2	14	3.27103	6	3.87097	20	3.43053
PHRF1	18	4.20561	2	1.29032	20	3.43053
PLCL2	17	3.97196	3	1.93548	20	3.43053
PLEKHA5	19	4.43925	1	0.645161	20	3.43053
PLIN4	17	3.97196	3	1.93548	20	3.43053
POGZ	15	3.50467	5	3.22581	20	3.43053
POP1	16	3.73832	4	2.58065	20	3.43053
POU4F2	19	4.43925	1	0.645161	20	3.43053
PPP1R9A	17	3.97196	3	1.93548	20	3.43053
PPP4R4	18	4.20561	2	1.29032	20	3.43053
PRDM16	19	4.43925	1	0.645161	20	3.43053
PRDM5	16	3.73832	4	2.58065	20	3.43053
PRPF40B	14	3.27103	6	3.87097	20	3.43053
PTPN23	16	3.73832	4	2.58065	20	3.43053
PTPRN	16	3.73832	4	2.58065	20	3.43053
PYHIN1	16	3.73832	4	2.58065	20	3.43053
QSER1	18	4.20561	2	1.29032	20	3.43053
RASA1	16	3.73832	4	2.58065	20	3.43053
RICTOR	18	4.20561	2	1.29032	20	3.43053
RNF111	17	3.97196	3	1.93548	20	3.43053
RNF6	17	3.97196	3	1.93548	20	3.43053
ROR2	18	4.20561	2	1.29032	20	3.43053
SAFB	17	3.97196	3	1.93548	20	3.43053
SAFB2	18	4.20561	2	1.29032	20	3.43053
SALL3	14	3.27103	6	3.87097	20	3.43053
SH3BP4	18	4.20561	2	1.29032	20	3.43053
SHOC1	16	3.73832	4	2.58065	20	3.43053
SHROOM2	14	3.27103	6	3.87097	20	3.43053
SLC26A7	17	3.97196	3	1.93548	20	3.43053
SLC27A6	15	3.50467	5	3.22581	20	3.43053
SLC4A11	16	3.73832	4	2.58065	20	3.43053
SLFN5	16	3.73832	4	2.58065	20	3.43053
SLITRK3	15	3.50467	5	3.22581	20	3.43053
SMC4	17	3.97196	3	1.93548	20	3.43053
SNAP91	17	3.97196	3	1.93548	20	3.43053
SNX29	15	3.50467	5	3.22581	20	3.43053
SPAG9	16	3.73832	4	2.58065	20	3.43053
SPOCK3	14	3.27103	6	3.87097	20	3.43053
SPTBN4	19	4.43925	1	0.645161	20	3.43053
STAT5B	18	4.20561	2	1.29032	20	3.43053
SUPT5H	16	3.73832	4	2.58065	20	3.43053
SV2A	19	4.43925	1	0.645161	20	3.43053
TAF4	13	3.03738	7	4.51613	20	3.43053
TBX18	17	3.97196	3	1.93548	20	3.43053
TEX10	15	3.50467	5	3.22581	20	3.43053
TFAP2D	18	4.20561	2	1.29032	20	3.43053
TICRR	17	3.97196	3	1.93548	20	3.43053
TIE1	18	4.20561	2	1.29032	20	3.43053
TJP2	18	4.20561	2	1.29032	20	3.43053
TPTE2	13	3.03738	7	4.51613	20	3.43053
TRIM3	16	3.73832	4	2.58065	20	3.43053
TRIM42	15	3.50467	5	3.22581	20	3.43053
TRIM55	14	3.27103	6	3.87097	20	3.43053
TTBK1	19	4.43925	1	0.645161	20	3.43053
UGGT1	14	3.27103	6	3.87097	20	3.43053
UNC5D	15	3.50467	5	3.22581	20	3.43053
UPF2	17	3.97196	3	1.93548	20	3.43053
USP19	18	4.20561	2	1.29032	20	3.43053
USP31	14	3.27103	6	3.87097	20	3.43053
USP6	17	3.97196	3	1.93548	20	3.43053
VAV3	16	3.73832	4	2.58065	20	3.43053
VPS50	16	3.73832	4	2.58065	20	3.43053
WHRN	19	4.43925	1	0.645161	20	3.43053
ZBTB40	18	4.20561	2	1.29032	20	3.43053
ZC3H6	15	3.50467	5	3.22581	20	3.43053
ZFC3H1	16	3.73832	4	2.58065	20	3.43053
ZHX2	18	4.20561	2	1.29032	20	3.43053
ZNF236	19	4.43925	1	0.645161	20	3.43053
ZNF385D	16	3.73832	4	2.58065	20	3.43053
ZNF585A	15	3.50467	5	3.22581	20	3.43053
ZNF615	16	3.73832	4	2.58065	20	3.43053
ZNF626	17	3.97196	3	1.93548	20	3.43053
ZNF677	15	3.50467	5	3.22581	20	3.43053
ZNF793	15	3.50467	5	3.22581	20	3.43053
ZNF836	14	3.27103	6	3.87097	20	3.43053
ADAMTS4	17	3.97196	2	1.29032	19	3.25901
ADGRD1	16	3.73832	3	1.93548	19	3.25901
ADGRG2	15	3.50467	4	2.58065	19	3.25901
AEBP1	16	3.73832	3	1.93548	19	3.25901
AGBL1	13	3.03738	6	3.87097	19	3.25901
AGTPBP1	15	3.50467	4	2.58065	19	3.25901
ANKIB1	17	3.97196	2	1.29032	19	3.25901
ANO2	14	3.27103	5	3.22581	19	3.25901
ANO3	16	3.73832	3	1.93548	19	3.25901
AP3B1	15	3.50467	4	2.58065	19	3.25901
ARHGAP11A	13	3.03738	6	3.87097	19	3.25901
ARHGAP30	17	3.97196	2	1.29032	19	3.25901
ARHGEF15	17	3.97196	2	1.29032	19	3.25901
ATP10B	17	3.97196	2	1.29032	19	3.25901
ATP10D	19	4.43925	0	0	19	3.25901
ATP2A2	16	3.73832	3	1.93548	19	3.25901
B4GALNT1	18	4.20561	1	0.645161	19	3.25901
BANK1	14	3.27103	5	3.22581	19	3.25901
BCLAF1	16	3.73832	3	1.93548	19	3.25901
CACNA2D4	16	3.73832	3	1.93548	19	3.25901
CAND2	14	3.27103	5	3.22581	19	3.25901
CAPRIN2	14	3.27103	5	3.22581	19	3.25901
CASP5	16	3.73832	3	1.93548	19	3.25901
CATSPERE	16	3.73832	3	1.93548	19	3.25901
CD1E	15	3.50467	4	2.58065	19	3.25901
CDC42BPG	17	3.97196	2	1.29032	19	3.25901
CDH1	16	3.73832	3	1.93548	19	3.25901
CDH16	16	3.73832	3	1.93548	19	3.25901
CDHR2	13	3.03738	6	3.87097	19	3.25901
CDHR3	16	3.73832	3	1.93548	19	3.25901
CDRT1	15	3.50467	4	2.58065	19	3.25901
CEP112	16	3.73832	3	1.93548	19	3.25901
CEP126	14	3.27103	5	3.22581	19	3.25901
CGNL1	16	3.73832	3	1.93548	19	3.25901
CILP	16	3.73832	3	1.93548	19	3.25901
CKAP2	18	4.20561	1	0.645161	19	3.25901
CLSPN	14	3.27103	5	3.22581	19	3.25901
CLTC	14	3.27103	5	3.22581	19	3.25901
CNNM1	18	4.20561	1	0.645161	19	3.25901
CNTNAP1	17	3.97196	2	1.29032	19	3.25901
COBLL1	13	3.03738	6	3.87097	19	3.25901
COL17A1	17	3.97196	2	1.29032	19	3.25901
COL20A1	18	4.20561	1	0.645161	19	3.25901
COL21A1	14	3.27103	5	3.22581	19	3.25901
COPA	16	3.73832	3	1.93548	19	3.25901
CPD	16	3.73832	3	1.93548	19	3.25901
CPXM1	13	3.03738	6	3.87097	19	3.25901
CYFIP2	16	3.73832	3	1.93548	19	3.25901
CYP7B1	15	3.50467	4	2.58065	19	3.25901
DDR2	15	3.50467	4	2.58065	19	3.25901
DEPDC5	17	3.97196	2	1.29032	19	3.25901
DGKH	13	3.03738	6	3.87097	19	3.25901
DHX15	17	3.97196	2	1.29032	19	3.25901
DIAPH2	16	3.73832	3	1.93548	19	3.25901
DIS3L	18	4.20561	1	0.645161	19	3.25901
DRD5	14	3.27103	5	3.22581	19	3.25901
DYNC1I1	14	3.27103	5	3.22581	19	3.25901
EDC4	17	3.97196	2	1.29032	19	3.25901
EGFLAM	17	3.97196	2	1.29032	19	3.25901
EHD3	15	3.50467	4	2.58065	19	3.25901
EML1	14	3.27103	5	3.22581	19	3.25901
EPB41L5	17	3.97196	2	1.29032	19	3.25901
ERICH6	17	3.97196	2	1.29032	19	3.25901
ESRP1	17	3.97196	2	1.29032	19	3.25901
EVPL	16	3.73832	3	1.93548	19	3.25901
EXOC6	18	4.20561	1	0.645161	19	3.25901
FAN1	17	3.97196	2	1.29032	19	3.25901
FBXO10	17	3.97196	2	1.29032	19	3.25901
FGFR2	15	3.50467	4	2.58065	19	3.25901
FOXK1	16	3.73832	3	1.93548	19	3.25901
FOXP2	13	3.03738	6	3.87097	19	3.25901
FSTL4	18	4.20561	1	0.645161	19	3.25901
GABRG2	12	2.80374	7	4.51613	19	3.25901
GATA3	16	3.73832	3	1.93548	19	3.25901
GEMIN5	17	3.97196	2	1.29032	19	3.25901
GGT5	18	4.20561	1	0.645161	19	3.25901
GLB1L2	16	3.73832	3	1.93548	19	3.25901
HEATR5A	18	4.20561	1	0.645161	19	3.25901
HEPHL1	16	3.73832	3	1.93548	19	3.25901
HIF3A	17	3.97196	2	1.29032	19	3.25901
IARS2	16	3.73832	3	1.93548	19	3.25901
IFT140	16	3.73832	3	1.93548	19	3.25901
IFT80	16	3.73832	3	1.93548	19	3.25901
IGSF3	17	3.97196	2	1.29032	19	3.25901
IL18R1	14	3.27103	5	3.22581	19	3.25901
IL18RAP	15	3.50467	4	2.58065	19	3.25901
IL1RL1	15	3.50467	4	2.58065	19	3.25901
IL7R	15	3.50467	4	2.58065	19	3.25901
INPP4A	16	3.73832	3	1.93548	19	3.25901
INTS2	17	3.97196	2	1.29032	19	3.25901
IRAG1	16	3.73832	3	1.93548	19	3.25901
ITGA5	16	3.73832	3	1.93548	19	3.25901
ITGA6	14	3.27103	5	3.22581	19	3.25901
KANK1	15	3.50467	4	2.58065	19	3.25901
KCNC3	19	4.43925	0	0	19	3.25901
KCNG1	16	3.73832	3	1.93548	19	3.25901
KCNH2	12	2.80374	7	4.51613	19	3.25901
KCTD3	16	3.73832	3	1.93548	19	3.25901
KIF4A	16	3.73832	3	1.93548	19	3.25901
KLHL5	16	3.73832	3	1.93548	19	3.25901
LARGE1	16	3.73832	3	1.93548	19	3.25901
LARP1	13	3.03738	6	3.87097	19	3.25901
LATS1	14	3.27103	5	3.22581	19	3.25901
LGR4	16	3.73832	3	1.93548	19	3.25901
LONRF2	16	3.73832	3	1.93548	19	3.25901
LRIG3	12	2.80374	7	4.51613	19	3.25901
LZTR1	18	4.20561	1	0.645161	19	3.25901
MAN2A1	16	3.73832	3	1.93548	19	3.25901
MED13L	17	3.97196	2	1.29032	19	3.25901
MET	16	3.73832	3	1.93548	19	3.25901
MIER3	16	3.73832	3	1.93548	19	3.25901
MLH1	16	3.73832	3	1.93548	19	3.25901
MOS	13	3.03738	6	3.87097	19	3.25901
MSH3	15	3.50467	4	2.58065	19	3.25901
MYO1B	15	3.50467	4	2.58065	19	3.25901
NAALAD2	17	3.97196	2	1.29032	19	3.25901
NCAPG	18	4.20561	1	0.645161	19	3.25901
NCOA3	14	3.27103	5	3.22581	19	3.25901
NCOA5	17	3.97196	2	1.29032	19	3.25901
NDST4	15	3.50467	4	2.58065	19	3.25901
NEDD9	17	3.97196	2	1.29032	19	3.25901
NELL1	16	3.73832	3	1.93548	19	3.25901
NEMF	15	3.50467	4	2.58065	19	3.25901
NEXN	15	3.50467	4	2.58065	19	3.25901
NLRC4	15	3.50467	4	2.58065	19	3.25901
NOTCH4	14	3.27103	5	3.22581	19	3.25901
NPC1	16	3.73832	3	1.93548	19	3.25901
NR0B1	15	3.50467	4	2.58065	19	3.25901
NUP155	15	3.50467	4	2.58065	19	3.25901
NUP188	14	3.27103	5	3.22581	19	3.25901
OR2M2	14	3.27103	5	3.22581	19	3.25901
PABPC5	13	3.03738	6	3.87097	19	3.25901
PAPOLG	14	3.27103	5	3.22581	19	3.25901
PAX3	17	3.97196	2	1.29032	19	3.25901
PAXBP1	16	3.73832	3	1.93548	19	3.25901
PC	15	3.50467	4	2.58065	19	3.25901
PCDH8	18	4.20561	1	0.645161	19	3.25901
PCDHAC2	15	3.50467	4	2.58065	19	3.25901
PCDHGC5	15	3.50467	4	2.58065	19	3.25901
PCSK1	15	3.50467	4	2.58065	19	3.25901
PDE8B	14	3.27103	5	3.22581	19	3.25901
PEAK1	16	3.73832	3	1.93548	19	3.25901
PER3	18	4.20561	1	0.645161	19	3.25901
PGR	16	3.73832	3	1.93548	19	3.25901
PIK3R6	17	3.97196	2	1.29032	19	3.25901
PKN2	14	3.27103	5	3.22581	19	3.25901
PLCG1	17	3.97196	2	1.29032	19	3.25901
PLCL1	13	3.03738	6	3.87097	19	3.25901
PNLDC1	13	3.03738	6	3.87097	19	3.25901
POLR3E	14	3.27103	5	3.22581	19	3.25901
POTEE	15	3.50467	4	2.58065	19	3.25901
PPARGC1A	19	4.43925	0	0	19	3.25901
PPP1R26	19	4.43925	0	0	19	3.25901
PRDM15	16	3.73832	3	1.93548	19	3.25901
PTBP2	17	3.97196	2	1.29032	19	3.25901
PTCHD3	17	3.97196	2	1.29032	19	3.25901
PTGER3	16	3.73832	3	1.93548	19	3.25901
PTPRF	17	3.97196	2	1.29032	19	3.25901
RAD50	14	3.27103	5	3.22581	19	3.25901
RAG1	16	3.73832	3	1.93548	19	3.25901
RBM46	16	3.73832	3	1.93548	19	3.25901
RIMBP3	15	3.50467	4	2.58065	19	3.25901
ROR1	13	3.03738	6	3.87097	19	3.25901
RPGRIP1	14	3.27103	5	3.22581	19	3.25901
RPRD2	17	3.97196	2	1.29032	19	3.25901
RTN1	16	3.73832	3	1.93548	19	3.25901
SCRIB	17	3.97196	2	1.29032	19	3.25901
SEC31A	17	3.97196	2	1.29032	19	3.25901
SEL1L3	15	3.50467	4	2.58065	19	3.25901
SELP	15	3.50467	4	2.58065	19	3.25901
SEMA3A	14	3.27103	5	3.22581	19	3.25901
SEMA3E	13	3.03738	6	3.87097	19	3.25901
SEMA5A	16	3.73832	3	1.93548	19	3.25901
SENP7	16	3.73832	3	1.93548	19	3.25901
SH3PXD2B	15	3.50467	4	2.58065	19	3.25901
SLC12A1	16	3.73832	3	1.93548	19	3.25901
SLC12A7	19	4.43925	0	0	19	3.25901
SLC13A3	14	3.27103	5	3.22581	19	3.25901
SLC32A1	17	3.97196	2	1.29032	19	3.25901
SLC3A2	19	4.43925	0	0	19	3.25901
SLC4A1	16	3.73832	3	1.93548	19	3.25901
