Gene	COAD_cases	COAD_percent	READ_cases	READ_percent	Odds_Ratio	P_value	FDR	Significant_FDR_0.05
BRAF	62	15.346534653465346	5	3.6231884057971016	5.081967213114754	5.4387615390043014e-05	0.00041255122450503255	True
PIK3CA	127	31.43564356435644	22	15.942028985507246	2.550739957716702	0.00010313780612625814	0.00041255122450503255	True
TP53	234	57.92079207920792	111	80.43478260869566	0.4781276121482307	0.00027443269788846026	0.0007318205277025607	True
APC	307	75.99009900990099	125	90.57971014492752	0.6089256198347107	0.032354726476855354	0.06470945295371071	False
NRAS	21	5.198019801980198	15	10.869565217391305	0.48157248157248156	0.049453286965635154	0.07912525914501625	False
SMAD4	47	11.633663366336634	23	16.666666666666668	0.7079767203012667	0.2479832197438231	0.3306442929917641	False
KRAS	183	45.2970297029703	63	45.65217391304348	1.0907677356656948	0.7043801082879029	0.8050058380433176	False
FBXW7	71	17.574257425742573	26	18.84057971014493	0.986748545572075	1.0	1.0	False
