SPEF2	42	7.20%
VPS13C	42	7.20%
ADAMTS2	41	7.03%
AKAP6	41	7.03%
ALMS1	41	7.03%
CDH23	41	7.03%
CNTNAP5	41	7.03%
CTNNA2	41	7.03%
EP400	41	7.03%
EPHA5	41	7.03%
FMN2	41	7.03%
MAP1B	41	7.03%
MAP3K4	41	7.03%
MTOR	41	7.03%
MYO15A	41	7.03%
NCKAP5	41	7.03%
PTPRS	41	7.03%
SVIL	41	7.03%
THSD7B	41	7.03%
A2ML1	40	6.86%
ADGRG4	40	6.86%
BRWD3	40	6.86%
KIF26B	40	6.86%
MBD6	40	6.86%
PAPPA	40	6.86%
PCDHA2	40	6.86%
PTPRK	40	6.86%
SCN3A	40	6.86%
SETX	40	6.86%
SLITRK1	40	6.86%
TIAM1	40	6.86%
TNS1	40	6.86%
TRIO	40	6.86%
USP34	40	6.86%
ZNF292	40	6.86%
ADAMTS20	39	6.69%
ADGRL2	39	6.69%
ATRX	39	6.69%
BNC2	39	6.69%
CACNA1B	39	6.69%
CHD4	39	6.69%
CHD6	39	6.69%
CHD8	39	6.69%
CNTN6	39	6.69%
FAM47C	39	6.69%
HERC1	39	6.69%
KALRN	39	6.69%
MINAR1	39	6.69%
MYO16	39	6.69%
NAV2	39	6.69%
NRXN2	39	6.69%
PREX2	39	6.69%
PTPRZ1	39	6.69%
RIF1	39	6.69%
RP1L1	39	6.69%
SVEP1	39	6.69%
UBR4	39	6.69%
UBR5	39	6.69%
UTRN	39	6.69%
ABCA4	38	6.52%
CARD11	38	6.52%
CENPF	38	6.52%
CNTNAP2	38	6.52%
CUX2	38	6.52%
DLC1	38	6.52%
DMXL1	38	6.52%
DMXL2	38	6.52%
EVC2	38	6.52%
GALNT17	38	6.52%
GPR158	38	6.52%
KANSL1	38	6.52%
KIF21A	38	6.52%
LPA	38	6.52%
MAP1A	38	6.52%
MGA	38	6.52%
MYH2	38	6.52%
MYH9	38	6.52%
PTPRC	38	6.52%
SALL1	38	6.52%
SPHKAP	38	6.52%
TRPC4	38	6.52%
USP9X	38	6.52%
ADGRB3	37	6.35%
AFF2	37	6.35%
ARFGEF1	37	6.35%
BCORL1	37	6.35%
CEP290	37	6.35%
CHD9	37	6.35%
DLG2	37	6.35%
EPG5	37	6.35%
ERICH3	37	6.35%
FAM135B	37	6.35%
FLNA	37	6.35%
ITPR1	37	6.35%
ITPR3	37	6.35%
KCNA4	37	6.35%
MED12	37	6.35%
PCDH18	37	6.35%
PLXND1	37	6.35%
PRDM9	37	6.35%
REV3L	37	6.35%
SCN2A	37	6.35%
SCN4A	37	6.35%
SDK2	37	6.35%
SORCS1	37	6.35%
SPTB	37	6.35%
TNRC6B	37	6.35%
TRIOBP	37	6.35%
ZBTB20	37	6.35%
ZNF423	37	6.35%
ACACA	36	6.17%
ACAN	36	6.17%
ADAMTSL3	36	6.17%
ADCY8	36	6.17%
ANK1	36	6.17%
ARAP2	36	6.17%
ARID2	36	6.17%
BOD1L1	36	6.17%
CPAMD8	36	6.17%
DCAF4L2	36	6.17%
FHOD3	36	6.17%
GCN1	36	6.17%
GOLGB1	36	6.17%
GPR179	36	6.17%
IGSF10	36	6.17%
LAMA3	36	6.17%
NRAS	36	6.17%
NUP205	36	6.17%
PCDH19	36	6.17%
PCDHA13	36	6.17%
PCDHA8	36	6.17%
PCNT	36	6.17%
RIMBP2	36	6.17%
STAB1	36	6.17%
TRIP12	36	6.17%
YLPM1	36	6.17%
ZC3H13	36	6.17%
ASTN1	35	6.00%
BCOR	35	6.00%
CACNA1C	35	6.00%
CDH8	35	6.00%
CEP170	35	6.00%
CNTNAP4	35	6.00%
COL5A2	35	6.00%
CTNNB1	35	6.00%
CUL9	35	6.00%
DAPK1	35	6.00%
DIDO1	35	6.00%
DISP3	35	6.00%
DOCK5	35	6.00%
EPHA3	35	6.00%
GRIA2	35	6.00%
GRM7	35	6.00%
GTF3C1	35	6.00%
HDAC9	35	6.00%
KCNH7	35	6.00%
LYST	35	6.00%
MED12L	35	6.00%
MYH14	35	6.00%
MYH7	35	6.00%
MYH8	35	6.00%
MYO5A	35	6.00%
NF1	35	6.00%
NLRP7	35	6.00%
PKD1	35	6.00%
PKD1L1	35	6.00%
PKDREJ	35	6.00%
PLCG2	35	6.00%
POLE	35	6.00%
POLQ	35	6.00%
PRUNE2	35	6.00%
PTEN	35	6.00%
PTPN13	35	6.00%
SPEN	35	6.00%
TCERG1	35	6.00%
TENM4	35	6.00%
THSD7A	35	6.00%
TRPM3	35	6.00%
ACACB	34	5.83%
ADAMTS12	34	5.83%
ADAMTS18	34	5.83%
CACNA1F	34	5.83%
CADPS	34	5.83%
CDK12	34	5.83%
CELSR2	34	5.83%
COL14A1	34	5.83%
COL1A2	34	5.83%
COL4A1	34	5.83%
DOCK8	34	5.83%
GREB1	34	5.83%
HRNR	34	5.83%
ITPR2	34	5.83%
MGAM	34	5.83%
MIDEAS	34	5.83%
MPDZ	34	5.83%
MYH6	34	5.83%
NCOR2	34	5.83%
NEXMIF	34	5.83%
NLRC5	34	5.83%
NOTCH3	34	5.83%
NPAP1	34	5.83%
NYAP2	34	5.83%
PCDHB7	34	5.83%
PLXNA1	34	5.83%
PTPRM	34	5.83%
RANBP2	34	5.83%
SFMBT2	34	5.83%
SHPRH	34	5.83%
SLITRK5	34	5.83%
TCHH	34	5.83%
TET1	34	5.83%
TRPM6	34	5.83%
UGGT2	34	5.83%
USF3	34	5.83%
WDFY3	34	5.83%
ADAMTS9	33	5.66%
ADAMTSL1	33	5.66%
ADCY2	33	5.66%
ADGRB1	33	5.66%
AKAP13	33	5.66%
