Missense_Mutation	185538
Silent	65426
Frame_Shift_Del	20070
Nonsense_Mutation	16613
Frame_Shift_Ins	5577
Intron	3690
Splice_Site	3620
3'UTR	2698
Splice_Region	2078
RNA	1876
In_Frame_Del	1163
5'UTR	707
3'Flank	479
5'Flank	453
Translation_Start_Site	206
Nonstop_Mutation	164
In_Frame_Ins	108
IGR	6
Variant_Classification	Count
