Gene	COAD_cases	COAD_percent	READ_cases	READ_percent
ZDBF2	39	9.11215	9	5.80645
ABCA1	38	8.8785	5	3.22581
CACNA1A	38	8.8785	7	4.51613
CNOT1	38	8.8785	7	4.51613
DOCK2	38	8.8785	12	7.74194
LAMA5	38	8.8785	9	5.80645
LRRIQ1	38	8.8785	10	6.45161
PAPPA2	38	8.8785	9	5.80645
PXDN	38	8.8785	9	5.80645
ROS1	38	8.8785	7	4.51613
RP1	38	8.8785	13	8.3871
TMEM132D	38	8.8785	13	8.3871
TRIO	38	8.8785	2	1.29032
ADAMTS2	37	8.64486	4	2.58065
BCL9L	37	8.64486	10	6.45161
FBN2	37	8.64486	5	3.22581
GRIN2A	37	8.64486	11	7.09677
MAP2	37	8.64486	9	5.80645
MBD6	37	8.64486	3	1.93548
MYO15A	37	8.64486	4	2.58065
SCN5A	37	8.64486	8	5.16129
SCN9A	37	8.64486	10	6.45161
SPEG	37	8.64486	7	4.51613
SVIL	37	8.64486	4	2.58065
TNR	37	8.64486	8	5.16129
TRRAP	37	8.64486	7	4.51613
VPS13A	37	8.64486	6	3.87097
ABCA12	36	8.41121	11	7.09677
AKAP12	36	8.41121	6	3.87097
BCL9	36	8.41121	11	7.09677
BIRC6	36	8.41121	7	4.51613
BNC2	36	8.41121	3	1.93548
CMYA5	36	8.41121	10	6.45161
COL22A1	36	8.41121	6	3.87097
FBN1	36	8.41121	11	7.09677
MAGEC1	36	8.41121	7	4.51613
MAP1B	36	8.41121	5	3.22581
MAP3K4	36	8.41121	5	3.22581
MYO18B	36	8.41121	7	4.51613
PKHD1L1	36	8.41121	8	5.16129
TENM2	36	8.41121	9	5.80645
A2ML1	35	8.17757	5	3.22581
ADAMTS16	35	8.17757	9	5.80645
BRWD3	35	8.17757	5	3.22581
CNTN6	35	8.17757	4	2.58065
CTNNA2	35	8.17757	6	3.87097
DYNC1H1	35	8.17757	8	5.16129
FN1	35	8.17757	10	6.45161
ITPR3	35	8.17757	2	1.29032
MYH9	35	8.17757	3	1.93548
MYO16	35	8.17757	4	2.58065
NAV2	35	8.17757	4	2.58065
PCDHA2	35	8.17757	5	3.22581
PCDHB8	35	8.17757	7	4.51613
RP1L1	35	8.17757	4	2.58065
SDK2	35	8.17757	2	1.29032
TEX15	35	8.17757	10	6.45161
TNS1	35	8.17757	5	3.22581
UBR4	35	8.17757	4	2.58065
VPS13C	35	8.17757	7	4.51613
ZBTB20	35	8.17757	2	1.29032
ADGRL3	34	7.94393	10	6.45161
BCORL1	34	7.94393	3	1.93548
CDH23	34	7.94393	7	4.51613
CDH9	34	7.94393	11	7.09677
CHD4	34	7.94393	5	3.22581
CHD8	34	7.94393	5	3.22581
DCC	34	7.94393	8	5.16129
EP400	34	7.94393	7	4.51613
EVC2	34	7.94393	4	2.58065
F8	34	7.94393	10	6.45161
HERC1	34	7.94393	5	3.22581
HUWE1	34	7.94393	8	5.16129
KANSL1	34	7.94393	4	2.58065
MINAR1	34	7.94393	5	3.22581
MKI67	34	7.94393	9	5.80645
MYO3A	34	7.94393	11	7.09677
NCKAP5	34	7.94393	7	4.51613
NOS1	34	7.94393	8	5.16129
PCNT	34	7.94393	2	1.29032
PTPRK	34	7.94393	6	3.87097
RIF1	34	7.94393	5	3.22581
SCN11A	34	7.94393	9	5.80645
SPAG17	34	7.94393	8	5.16129
SPEF2	34	7.94393	8	5.16129
UBR5	34	7.94393	5	3.22581
USP34	34	7.94393	6	3.87097
ZNF292	34	7.94393	6	3.87097
ABCA4	33	7.71028	5	3.22581
CACNA1B	33	7.71028	6	3.87097
CNTNAP5	33	7.71028	8	5.16129
CUX2	33	7.71028	5	3.22581
DSEL	33	7.71028	10	6.45161
FLNA	33	7.71028	4	2.58065
MYH14	33	7.71028	2	1.29032
NLRC5	33	7.71028	1	0.645161
NRXN2	33	7.71028	6	3.87097
OTOGL	33	7.71028	12	7.74194
PAPPA	33	7.71028	7	4.51613
PCDHA12	33	7.71028	10	6.45161
PXDNL	33	7.71028	9	5.80645
SCN7A	33	7.71028	9	5.80645
TG	33	7.71028	10	6.45161
THSD7B	33	7.71028	8	5.16129
TRIOBP	33	7.71028	4	2.58065
ZNF423	33	7.71028	4	2.58065
ADGRL2	32	7.47664	7	4.51613
ARAP2	32	7.47664	4	2.58065
ARFGEF1	32	7.47664	5	3.22581
BCOR	32	7.47664	3	1.93548
BRCA2	32	7.47664	10	6.45161
CNTNAP4	32	7.47664	3	1.93548
EPHA5	32	7.47664	9	5.80645
ERICH3	32	7.47664	5	3.22581
FHOD3	32	7.47664	4	2.58065
FMN2	32	7.47664	9	5.80645
GALNT17	32	7.47664	6	3.87097
GCN1	32	7.47664	4	2.58065
GOLGB1	32	7.47664	4	2.58065
KALRN	32	7.47664	7	4.51613
KCNB2	32	7.47664	10	6.45161
KIF21A	32	7.47664	6	3.87097
KIF26B	32	7.47664	8	5.16129
LAMA3	32	7.47664	4	2.58065
LRRC7	32	7.47664	11	7.09677
MAP1A	32	7.47664	6	3.87097
NUP205	32	7.47664	4	2.58065
PKD1	32	7.47664	3	1.93548
PRDM9	32	7.47664	5	3.22581
PREX2	32	7.47664	7	4.51613
REV3L	32	7.47664	5	3.22581
SCN3A	32	7.47664	8	5.16129
SETX	32	7.47664	8	5.16129
SPEN	32	7.47664	3	1.93548
STAB1	32	7.47664	4	2.58065
USP9X	32	7.47664	6	3.87097
ZNF804B	32	7.47664	12	7.74194
ACACB	31	7.24299	3	1.93548
ADAMTS20	31	7.24299	8	5.16129
ADCY8	31	7.24299	5	3.22581
AFF2	31	7.24299	6	3.87097
AKAP6	31	7.24299	10	6.45161
ALMS1	31	7.24299	10	6.45161
ATRX	31	7.24299	8	5.16129
CHD6	31	7.24299	8	5.16129
CNTNAP2	31	7.24299	7	4.51613
DAPK1	31	7.24299	4	2.58065
DCAF4L2	31	7.24299	5	3.22581
DIDO1	31	7.24299	4	2.58065
DLC1	31	7.24299	7	4.51613
DMXL2	31	7.24299	7	4.51613
EPG5	31	7.24299	6	3.87097
EPHA3	31	7.24299	4	2.58065
FAM47C	31	7.24299	8	5.16129
HELZ2	31	7.24299	2	1.29032
ITPR1	31	7.24299	6	3.87097
LARP4B	31	7.24299	2	1.29032
MIDEAS	31	7.24299	3	1.93548
MYH2	31	7.24299	7	4.51613
NCOR2	31	7.24299	3	1.93548
PCDHA8	31	7.24299	5	3.22581
PEG3	31	7.24299	12	7.74194
SCN2A	31	7.24299	6	3.87097
SLITRK1	31	7.24299	9	5.80645
SPTB	31	7.24299	6	3.87097
SPTBN1	31	7.24299	2	1.29032
SVEP1	31	7.24299	8	5.16129
TCERG1	31	7.24299	4	2.58065
TIAM1	31	7.24299	9	5.80645
TNRC6B	31	7.24299	6	3.87097
ACACA	30	7.00935	6	3.87097
ADAMTSL3	30	7.00935	6	3.87097
ADGRG4	30	7.00935	10	6.45161
ALK	30	7.00935	3	1.93548
ARID2	30	7.00935	6	3.87097
CACNA1C	30	7.00935	5	3.22581
CENPF	30	7.00935	8	5.16129
CHD9	30	7.00935	7	4.51613
COL4A1	30	7.00935	4	2.58065
CPAMD8	30	7.00935	6	3.87097
DISP3	30	7.00935	5	3.22581
DLG2	30	7.00935	7	4.51613
FASN	30	7.00935	2	1.29032
FLNB	30	7.00935	2	1.29032
GPR179	30	7.00935	6	3.87097
GTF3C1	30	7.00935	5	3.22581
HSPG2	30	7.00935	3	1.93548
LPA	30	7.00935	8	5.16129
LYST	30	7.00935	5	3.22581
MED12	30	7.00935	7	4.51613
MGA	30	7.00935	8	5.16129
MYH7	30	7.00935	5	3.22581
MYH8	30	7.00935	5	3.22581
MYO5A	30	7.00935	5	3.22581
PCDH18	30	7.00935	7	4.51613
PLXNA1	30	7.00935	4	2.58065
PLXND1	30	7.00935	7	4.51613
PRUNE2	30	7.00935	5	3.22581
PTPRZ1	30	7.00935	9	5.80645
RIMBP2	30	7.00935	6	3.87097
SCN4A	30	7.00935	7	4.51613
SFMBT2	30	7.00935	4	2.58065
SPHKAP	30	7.00935	8	5.16129
TEAD2	30	7.00935	0	0
TRIP12	30	7.00935	6	3.87097
UTRN	30	7.00935	9	5.80645
