Gene	COAD_cases	COAD_percent	READ_cases	READ_percent
ITGB8	15	3.50467	2	1.29032
ITIH1	15	3.50467	7	4.51613
IVL	15	3.50467	2	1.29032
JUP	15	3.50467	2	1.29032
KANK1	15	3.50467	4	2.58065
KCNA3	15	3.50467	3	1.93548
KCNH4	15	3.50467	5	3.22581
KCNJ3	15	3.50467	2	1.29032
KCNJ8	15	3.50467	2	1.29032
KCNS2	15	3.50467	6	3.87097
KDM2A	15	3.50467	0	0
KIAA0825	15	3.50467	3	1.93548
KIF17	15	3.50467	2	1.29032
KIF20B	15	3.50467	9	5.80645
KIFC3	15	3.50467	3	1.93548
KPRP	15	3.50467	2	1.29032
LINGO1	15	3.50467	0	0
LNPEP	15	3.50467	2	1.29032
LOXL2	15	3.50467	2	1.29032
LRRC66	15	3.50467	1	0.645161
MACC1	15	3.50467	5	3.22581
MAMLD1	15	3.50467	3	1.93548
MAP9	15	3.50467	3	1.93548
MARCHF10	15	3.50467	2	1.29032
MARK1	15	3.50467	7	4.51613
MARK4	15	3.50467	3	1.93548
MCF2L	15	3.50467	2	1.29032
MED1	15	3.50467	5	3.22581
MEIS1	15	3.50467	2	1.29032
MIS18BP1	15	3.50467	5	3.22581
MOV10L1	15	3.50467	3	1.93548
MPO	15	3.50467	5	3.22581
MSH3	15	3.50467	4	2.58065
MYO1A	15	3.50467	2	1.29032
MYO1B	15	3.50467	4	2.58065
MYO1E	15	3.50467	3	1.93548
NAA15	15	3.50467	2	1.29032
NDST4	15	3.50467	4	2.58065
NEMF	15	3.50467	4	2.58065
NEO1	15	3.50467	5	3.22581
NEXN	15	3.50467	4	2.58065
NLRC4	15	3.50467	4	2.58065
NPC1L1	15	3.50467	3	1.93548
NPR2	15	3.50467	2	1.29032
NR0B1	15	3.50467	4	2.58065
NSD2	15	3.50467	3	1.93548
NTNG2	15	3.50467	1	0.645161
NUP155	15	3.50467	4	2.58065
OR6N1	15	3.50467	1	0.645161
OSBPL6	15	3.50467	7	4.51613
PARD3	15	3.50467	3	1.93548
PC	15	3.50467	4	2.58065
PCDHAC2	15	3.50467	4	2.58065
PCDHB14	15	3.50467	2	1.29032
PCDHGC5	15	3.50467	4	2.58065
PCSK1	15	3.50467	4	2.58065
PDE1C	15	3.50467	2	1.29032
PDE6A	15	3.50467	3	1.93548
PDHA2	15	3.50467	5	3.22581
PDZD4	15	3.50467	2	1.29032
PEX1	15	3.50467	3	1.93548
PHLDB1	15	3.50467	1	0.645161
PITPNM1	15	3.50467	1	0.645161
PKD2L1	15	3.50467	1	0.645161
PLA2G6	15	3.50467	1	0.645161
PLEKHG1	15	3.50467	3	1.93548
PNPLA8	15	3.50467	2	1.29032
POGZ	15	3.50467	5	3.22581
POLM	15	3.50467	1	0.645161
POTEE	15	3.50467	4	2.58065
PRKCB	15	3.50467	7	4.51613
PROKR1	15	3.50467	1	0.645161
PSD	15	3.50467	3	1.93548
PTCHD4	15	3.50467	3	1.93548
PTGFRN	15	3.50467	2	1.29032
PTK2B	15	3.50467	2	1.29032
PTPN3	15	3.50467	2	1.29032
PYGB	15	3.50467	0	0
R3HDM1	15	3.50467	2	1.29032
RABGAP1	15	3.50467	3	1.93548
RAD54L2	15	3.50467	2	1.29032
RAPGEF1	15	3.50467	2	1.29032
RASGRP3	15	3.50467	6	3.87097
RB1CC1	15	3.50467	9	5.80645
RBFOX1	15	3.50467	3	1.93548
RBL2	15	3.50467	2	1.29032
RFX6	15	3.50467	3	1.93548
RIMBP3	15	3.50467	4	2.58065
RNF123	15	3.50467	3	1.93548
RNF20	15	3.50467	3	1.93548
RSF1	15	3.50467	8	5.16129
RTN4	15	3.50467	2	1.29032
SDHA	15	3.50467	3	1.93548
SEL1L3	15	3.50467	4	2.58065
SELP	15	3.50467	4	2.58065
SGO1	15	3.50467	3	1.93548
SH3PXD2B	15	3.50467	4	2.58065
SLC12A9	15	3.50467	2	1.29032
SLC16A6	15	3.50467	1	0.645161
SLC18A3	15	3.50467	2	1.29032
SLC24A3	15	3.50467	2	1.29032
SLC27A6	15	3.50467	5	3.22581
SLC6A15	15	3.50467	6	3.87097
SLC9A3	15	3.50467	0	0
SLCO2A1	15	3.50467	3	1.93548
SLCO5A1	15	3.50467	4	2.58065
SLITRK3	15	3.50467	5	3.22581
SLITRK4	15	3.50467	8	5.16129
SMC5	15	3.50467	3	1.93548
SNX29	15	3.50467	5	3.22581
SON	15	3.50467	6	3.87097
SPAG5	15	3.50467	1	0.645161
SPRTN	15	3.50467	2	1.29032
SRGAP2	15	3.50467	1	0.645161
SSH2	15	3.50467	2	1.29032
STAG3	15	3.50467	7	4.51613
STON1	15	3.50467	3	1.93548
STRIP2	15	3.50467	1	0.645161
STS	15	3.50467	2	1.29032
SYDE2	15	3.50467	3	1.93548
SYMPK	15	3.50467	1	0.645161
SYNPO2L	15	3.50467	0	0
SYNRG	15	3.50467	3	1.93548
TAP2	15	3.50467	3	1.93548
TEX10	15	3.50467	5	3.22581
TICAM1	15	3.50467	0	0
TLR7	15	3.50467	4	2.58065
TMF1	15	3.50467	4	2.58065
TNK2	15	3.50467	1	0.645161
TNPO1	15	3.50467	3	1.93548
TNS2	15	3.50467	1	0.645161
TOP3A	15	3.50467	4	2.58065
TRIM42	15	3.50467	5	3.22581
TTC21A	15	3.50467	2	1.29032
TTC21B	15	3.50467	2	1.29032
TTLL2	15	3.50467	1	0.645161
TUBGCP2	15	3.50467	4	2.58065
UBE3A	15	3.50467	3	1.93548
UBN1	15	3.50467	3	1.93548
UNC5B	15	3.50467	1	0.645161
UNC5D	15	3.50467	5	3.22581
UPF1	15	3.50467	4	2.58065
USP15	15	3.50467	2	1.29032
USP26	15	3.50467	2	1.29032
USP43	15	3.50467	4	2.58065
USP44	15	3.50467	4	2.58065
UTP4	15	3.50467	3	1.93548
VCAM1	15	3.50467	3	1.93548
VPS8	15	3.50467	3	1.93548
WASL	15	3.50467	2	1.29032
WRN	15	3.50467	4	2.58065
XDH	15	3.50467	2	1.29032
XKR6	15	3.50467	1	0.645161
XPO6	15	3.50467	2	1.29032
XPR1	15	3.50467	2	1.29032
ZBED4	15	3.50467	1	0.645161
ZC3H6	15	3.50467	5	3.22581
ZDHHC7	15	3.50467	4	2.58065
ZFP28	15	3.50467	3	1.93548
ZFR	15	3.50467	6	3.87097
ZFYVE16	15	3.50467	3	1.93548
ZIC4	15	3.50467	4	2.58065
ZIM2	15	3.50467	3	1.93548
ZNF335	15	3.50467	2	1.29032
ZNF366	15	3.50467	4	2.58065
ZNF416	15	3.50467	2	1.29032
ZNF471	15	3.50467	6	3.87097
ZNF585A	15	3.50467	5	3.22581
ZNF616	15	3.50467	3	1.93548
ZNF619	15	3.50467	1	0.645161
ZNF638	15	3.50467	13	8.3871
ZNF677	15	3.50467	5	3.22581
ZNF7	15	3.50467	3	1.93548
ZNF793	15	3.50467	5	3.22581
ZSWIM8	15	3.50467	4	2.58065
ABCC10	14	3.27103	2	1.29032
ABCC3	14	3.27103	1	0.645161
ABCD1	14	3.27103	1	0.645161
ACSS2	14	3.27103	1	0.645161
ADAM18	14	3.27103	4	2.58065
ADAM21	14	3.27103	4	2.58065
ADAM23	14	3.27103	3	1.93548
ADARB1	14	3.27103	2	1.29032
ADCY6	14	3.27103	1	0.645161
ADGRE5	14	3.27103	3	1.93548
ADNP	14	3.27103	4	2.58065
ALOX5	14	3.27103	2	1.29032
AMER2	14	3.27103	1	0.645161
AMPD1	14	3.27103	6	3.87097
AMPD2	14	3.27103	0	0
ANKRD27	14	3.27103	1	0.645161
ANKRD35	14	3.27103	3	1.93548
ANKRD52	14	3.27103	2	1.29032
ANO2	14	3.27103	5	3.22581
ANPEP	14	3.27103	1	0.645161
ANXA6	14	3.27103	2	1.29032
AP5Z1	14	3.27103	2	1.29032
APAF1	14	3.27103	2	1.29032
APBA1	14	3.27103	2	1.29032
APOBR	14	3.27103	1	0.645161
ARHGAP39	14	3.27103	1	0.645161
ASIC2	14	3.27103	3	1.93548
ASNSD1	14	3.27103	3	1.93548
ATP2A3	14	3.27103	1	0.645161
ATP8B4	14	3.27103	7	4.51613
ATRN	14	3.27103	2	1.29032
BANK1	14	3.27103	5	3.22581
BAZ2A	14	3.27103	3	1.93548
BRPF1	14	3.27103	2	1.29032
BUB1	14	3.27103	2	1.29032
C2CD3	14	3.27103	3	1.93548
C3orf20	14	3.27103	7	4.51613
CAND2	14	3.27103	5	3.22581
CAPRIN2	14	3.27103	5	3.22581
CASD1	14	3.27103	3	1.93548
CATSPERB	14	3.27103	4	2.58065
CCDC116	14	3.27103	1	0.645161
CCDC15	14	3.27103	3	1.93548
CCDC88B	14	3.27103	0	0
CCDC9B	14	3.27103	0	0
CDYL	14	3.27103	4	2.58065
CELF4	14	3.27103	2	1.29032
CEP126	14	3.27103	5	3.22581
CEP128	14	3.27103	4	2.58065
CEP135	14	3.27103	3	1.93548
CEP78	14	3.27103	2	1.29032
CFAP44	14	3.27103	3	1.93548
CLASP2	14	3.27103	3	1.93548
CLSPN	14	3.27103	5	3.22581
CLSTN3	14	3.27103	3	1.93548
CLTC	14	3.27103	5	3.22581
CNTN2	14	3.27103	0	0
CNTNAP3	14	3.27103	4	2.58065
COL16A1	14	3.27103	1	0.645161
COL21A1	14	3.27103	5	3.22581
COL28A1	14	3.27103	4	2.58065
CPZ	14	3.27103	4	2.58065
CSNK1A1L	14	3.27103	4	2.58065
CTNNBL1	14	3.27103	1	0.645161
CTSC	14	3.27103	2	1.29032
CUL7	14	3.27103	3	1.93548
DCAF1	14	3.27103	4	2.58065
DCAF12L1	14	3.27103	2	1.29032
DCAF5	14	3.27103	0	0
DCX	14	3.27103	4	2.58065
DDX42	14	3.27103	1	0.645161
DHX8	14	3.27103	3	1.93548
DIS3L2	14	3.27103	2	1.29032
DNAI3	14	3.27103	4	2.58065
DOT1L	14	3.27103	0	0
DRD5	14	3.27103	5	3.22581
DUS4L-BCAP29	14	3.27103	3	1.93548
DVL2	14	3.27103	3	1.93548
DYNC1I1	14	3.27103	5	3.22581
EBF1	14	3.27103	1	0.645161
EFCAB13	14	3.27103	3	1.93548
EFHB	14	3.27103	3	1.93548
EGR1	14	3.27103	3	1.93548
EHBP1	14	3.27103	3	1.93548
EHD2	14	3.27103	1	0.645161
EIF4ENIF1	14	3.27103	0	0
EML1	14	3.27103	5	3.22581
EML4	14	3.27103	4	2.58065
EPB41L1	14	3.27103	2	1.29032
EPX	14	3.27103	2	1.29032
ERBIN	14	3.27103	3	1.93548
ETV1	14	3.27103	3	1.93548
ETV6	14	3.27103	2	1.29032
EXD3	14	3.27103	1	0.645161
EYA4	14	3.27103	3	1.93548
F13A1	14	3.27103	3	1.93548
F2	14	3.27103	1	0.645161
F9	14	3.27103	2	1.29032
FAM135A	14	3.27103	6	3.87097
FAM151A	14	3.27103	1	0.645161
FAM83E	14	3.27103	2	1.29032
FAM83H	14	3.27103	1	0.645161
FBLN2	14	3.27103	1	0.645161
FCHO2	14	3.27103	3	1.93548
FER1L5	14	3.27103	1	0.645161
FGD5	14	3.27103	4	2.58065
FGF13	14	3.27103	7	4.51613
FNBP4	14	3.27103	2	1.29032
FNDC3B	14	3.27103	2	1.29032
FOXN3	14	3.27103	1	0.645161
FSHR	14	3.27103	7	4.51613
FYB2	14	3.27103	3	1.93548
GABBR2	14	3.27103	9	5.80645
GABRA4	14	3.27103	2	1.29032
GABRB2	14	3.27103	4	2.58065
GABRB3	14	3.27103	7	4.51613
GAD1	14	3.27103	2	1.29032
GALNT13	14	3.27103	3	1.93548
GBP1	14	3.27103	1	0.645161
GCNA	14	3.27103	1	0.645161
GLI2	14	3.27103	3	1.93548
GMEB2	14	3.27103	2	1.29032
GP2	14	3.27103	3	1.93548
GPSM2	14	3.27103	1	0.645161
GRIA3	14	3.27103	7	4.51613
GRIP1	14	3.27103	3	1.93548
GRM2	14	3.27103	3	1.93548
GTF2IRD1	14	3.27103	2	1.29032
HIPK2	14	3.27103	4	2.58065
HKDC1	14	3.27103	2	1.29032
HNF1A	14	3.27103	0	0
HTR7	14	3.27103	2	1.29032
IFIH1	14	3.27103	3	1.93548
IGDCC4	14	3.27103	1	0.645161
IGF1R	14	3.27103	1	0.645161
IL18R1	14	3.27103	5	3.22581
IPO7	14	3.27103	1	0.645161
ITGA6	14	3.27103	5	3.22581
ITK	14	3.27103	4	2.58065
JAG1	14	3.27103	3	1.93548
JRK	14	3.27103	1	0.645161
KBTBD6	14	3.27103	3	1.93548
KBTBD7	14	3.27103	3	1.93548
KCNN3	14	3.27103	3	1.93548
KDM4A	14	3.27103	4	2.58065
KDM4B	14	3.27103	3	1.93548
KDM6A	14	3.27103	1	0.645161
KIAA0232	14	3.27103	6	3.87097
KIAA1210	14	3.27103	6	3.87097
KIF5B	14	3.27103	4	2.58065
KIRREL2	14	3.27103	6	3.87097
KLKB1	14	3.27103	2	1.29032
KMT5B	14	3.27103	4	2.58065
KSR1	14	3.27103	0	0
KTN1	14	3.27103	2	1.29032
LAMC1	14	3.27103	3	1.93548
LARS1	14	3.27103	3	1.93548
LATS1	14	3.27103	5	3.22581
LDB3	14	3.27103	0	0
LHX1	14	3.27103	2	1.29032
LMTK3	14	3.27103	4	2.58065
LNX1	14	3.27103	2	1.29032
LOXL3	14	3.27103	2	1.29032
LOXL4	14	3.27103	1	0.645161
LRIG1	14	3.27103	1	0.645161
LRP10	14	3.27103	1	0.645161
LRRTM1	14	3.27103	2	1.29032
LTN1	14	3.27103	4	2.58065
LY75	14	3.27103	3	1.93548
LYN	14	3.27103	1	0.645161
LZTS3	14	3.27103	1	0.645161
MAD1L1	14	3.27103	2	1.29032
MAN2C1	14	3.27103	2	1.29032
MAP3K9	14	3.27103	2	1.29032
MAP4	14	3.27103	2	1.29032
MAPKBP1	14	3.27103	4	2.58065
MAPRE3	14	3.27103	1	0.645161
MARS1	14	3.27103	4	2.58065
MASTL	14	3.27103	1	0.645161
MBD1	14	3.27103	1	0.645161
MED14	14	3.27103	1	0.645161
MEFV	14	3.27103	3	1.93548
MELTF	14	3.27103	0	0
MEX3B	14	3.27103	2	1.29032
MITF	14	3.27103	6	3.87097
MKRN3	14	3.27103	4	2.58065
MLLT6	14	3.27103	2	1.29032
MMP16	14	3.27103	8	5.16129
MON1B	14	3.27103	2	1.29032
MRC2	14	3.27103	2	1.29032
MRGPRX1	14	3.27103	4	2.58065
MTMR4	14	3.27103	0	0
MTREX	14	3.27103	3	1.93548
MYO1G	14	3.27103	3	1.93548
MYOM3	14	3.27103	1	0.645161
NAA16	14	3.27103	4	2.58065
NCOA3	14	3.27103	5	3.22581
NDUFS1	14	3.27103	0	0
NEDD4L	14	3.27103	2	1.29032
NEK1	14	3.27103	3	1.93548
NETO1	14	3.27103	6	3.87097
NFATC2	14	3.27103	4	2.58065
NFRKB	14	3.27103	2	1.29032
NISCH	14	3.27103	1	0.645161
NLGN3	14	3.27103	2	1.29032
NLRC3	14	3.27103	4	2.58065
NLRP11	14	3.27103	6	3.87097
NLRP14	14	3.27103	4	2.58065
NOL4L	14	3.27103	1	0.645161
NOL8	14	3.27103	3	1.93548
NOM1	14	3.27103	4	2.58065
NOMO1	14	3.27103	3	1.93548
NOTCH4	14	3.27103	5	3.22581
NPAS3	14	3.27103	3	1.93548
NRDC	14	3.27103	2	1.29032
NSD3	14	3.27103	2	1.29032
NUP188	14	3.27103	5	3.22581
OLFML2B	14	3.27103	4	2.58065
OR1C1	14	3.27103	2	1.29032
OR2M2	14	3.27103	5	3.22581
OR5T2	14	3.27103	0	0
OTOA	14	3.27103	4	2.58065
OTUD7B	14	3.27103	4	2.58065
PAPOLG	14	3.27103	5	3.22581
PCDH11Y	14	3.27103	4	2.58065
PCDHGA10	14	3.27103	3	1.93548
PCDHGB2	14	3.27103	6	3.87097
PCSK7	14	3.27103	1	0.645161
PDCD11	14	3.27103	3	1.93548
PDE1B	14	3.27103	3	1.93548
PDE8B	14	3.27103	5	3.22581
PFAS	14	3.27103	1	0.645161
PHACTR1	14	3.27103	1	0.645161
PHC2	14	3.27103	2	1.29032
PHKA2	14	3.27103	6	3.87097
PHLPP2	14	3.27103	2	1.29032
PKD2	14	3.27103	3	1.93548
PKN1	14	3.27103	2	1.29032
PKN2	14	3.27103	5	3.22581
PKN3	14	3.27103	0	0
PLCZ1	14	3.27103	2	1.29032
PLD1	14	3.27103	2	1.29032
PLEKHG2	14	3.27103	3	1.93548
PLEKHH1	14	3.27103	1	0.645161
PLEKHM2	14	3.27103	2	1.29032
POLR2A	14	3.27103	4	2.58065
POLR2B	14	3.27103	3	1.93548
POLR3A	14	3.27103	2	1.29032
POLR3B	14	3.27103	3	1.93548
POLR3E	14	3.27103	5	3.22581
POM121L12	14	3.27103	3	1.93548
POTEF	14	3.27103	8	5.16129
PPP1R13B	14	3.27103	4	2.58065
PRAG1	14	3.27103	0	0
PRAMEF17	14	3.27103	4	2.58065
PROS1	14	3.27103	2	1.29032
PRPF40B	14	3.27103	6	3.87097
PRPF6	14	3.27103	1	0.645161
PRRG1	14	3.27103	3	1.93548
PRX	14	3.27103	0	0
PSD4	14	3.27103	0	0
PTCHD1	14	3.27103	2	1.29032
PTPRH	14	3.27103	4	2.58065
PUS7	14	3.27103	2	1.29032
PWP1	14	3.27103	2	1.29032
QRICH2	14	3.27103	2	1.29032
RAD50	14	3.27103	5	3.22581
RARB	14	3.27103	2	1.29032
RASA2	14	3.27103	4	2.58065
RASGRP2	14	3.27103	4	2.58065
RBBP8NL	14	3.27103	2	1.29032
RBM25	14	3.27103	2	1.29032
RBM27	14	3.27103	3	1.93548
RC3H1	14	3.27103	1	0.645161
RGS20	14	3.27103	2	1.29032
ROCK2	14	3.27103	4	2.58065
RORB	14	3.27103	0	0
RPGRIP1	14	3.27103	5	3.22581
RRBP1	14	3.27103	3	1.93548
RTKN2	14	3.27103	2	1.29032
RUSC2	14	3.27103	1	0.645161
SALL3	14	3.27103	6	3.87097
SAP130	14	3.27103	1	0.645161
SBF2	14	3.27103	3	1.93548
SEC61A1	14	3.27103	0	0
SEL1L2	14	3.27103	7	4.51613
SEMA3A	14	3.27103	5	3.22581
SEMG2	14	3.27103	2	1.29032
SENP6	14	3.27103	3	1.93548
SHROOM2	14	3.27103	6	3.87097
SIGLEC10	14	3.27103	3	1.93548
SIPA1L3	14	3.27103	3	1.93548
SLC12A2	14	3.27103	3	1.93548
SLC13A3	14	3.27103	5	3.22581
SLC16A1	14	3.27103	2	1.29032
SLC26A3	14	3.27103	3	1.93548
SLC26A5	14	3.27103	3	1.93548
SLC27A1	14	3.27103	1	0.645161
SLC4A5	14	3.27103	2	1.29032
SLC5A2	14	3.27103	1	0.645161
SLCO3A1	14	3.27103	2	1.29032
SNAPC4	14	3.27103	5	3.22581
SNX25	14	3.27103	5	3.22581
SORCS2	14	3.27103	5	3.22581
SPATA31A1	14	3.27103	3	1.93548
SPOCK3	14	3.27103	6	3.87097
STAMBPL1	14	3.27103	2	1.29032
STON1-GTF2A1L	14	3.27103	3	1.93548
STXBP5L	14	3.27103	3	1.93548
SWT1	14	3.27103	5	3.22581
SYNPO	14	3.27103	2	1.29032
TAF1C	14	3.27103	0	0
TAF3	14	3.27103	4	2.58065
TBC1D10B	14	3.27103	1	0.645161
TBC1D4	14	3.27103	4	2.58065
TBC1D8	14	3.27103	1	0.645161
TBX5	14	3.27103	3	1.93548
TCF4	14	3.27103	5	3.22581
TDRD3	14	3.27103	3	1.93548
TECPR2	14	3.27103	3	1.93548
TECRL	14	3.27103	4	2.58065
TEX2	14	3.27103	1	0.645161
TGM4	14	3.27103	2	1.29032
TIMP3	14	3.27103	1	0.645161
TJP1	14	3.27103	5	3.22581
TLR9	14	3.27103	5	3.22581
TMC2	14	3.27103	2	1.29032
TMC5	14	3.27103	4	2.58065
TMTC1	14	3.27103	4	2.58065
TNPO3	14	3.27103	2	1.29032
TOP2A	14	3.27103	5	3.22581
TOPBP1	14	3.27103	5	3.22581
TOPORS	14	3.27103	5	3.22581
TRAK1	14	3.27103	2	1.29032
TRIM45	14	3.27103	0	0
TRIM55	14	3.27103	6	3.87097
TRPM4	14	3.27103	2	1.29032
TSC2	14	3.27103	3	1.93548
TSC22D1	14	3.27103	2	1.29032
TSGA10	14	3.27103	2	1.29032
TTLL7	14	3.27103	3	1.93548
TUB	14	3.27103	4	2.58065
TUBGCP5	14	3.27103	3	1.93548
TUBGCP6	14	3.27103	2	1.29032
TVP23A	14	3.27103	0	0
UBE3B	14	3.27103	4	2.58065
UBE3C	14	3.27103	3	1.93548
UBR1	14	3.27103	2	1.29032
UGGT1	14	3.27103	6	3.87097
UGT3A2	14	3.27103	5	3.22581
URB2	14	3.27103	3	1.93548
UROC1	14	3.27103	3	1.93548
USP31	14	3.27103	6	3.87097
USP42	14	3.27103	2	1.29032
VARS1	14	3.27103	2	1.29032
VAV1	14	3.27103	3	1.93548
VEPH1	14	3.27103	3	1.93548
VPS41	14	3.27103	1	0.645161
VWA7	14	3.27103	1	0.645161
WDR11	14	3.27103	2	1.29032
WDR19	14	3.27103	4	2.58065
WDR47	14	3.27103	4	2.58065
WDR62	14	3.27103	3	1.93548
WDR72	14	3.27103	5	3.22581
WNT16	14	3.27103	0	0
WNT9A	14	3.27103	0	0
XAB2	14	3.27103	2	1.29032
YTHDC1	14	3.27103	5	3.22581
ZAP70	14	3.27103	1	0.645161
ZBTB33	14	3.27103	0	0
ZBTB46	14	3.27103	3	1.93548
ZC3H12C	14	3.27103	4	2.58065
ZFPM2	14	3.27103	12	7.74194
ZHX3	14	3.27103	1	0.645161
ZMYM1	14	3.27103	5	3.22581
ZNF184	14	3.27103	3	1.93548
ZNF304	14	3.27103	5	3.22581
ZNF354C	14	3.27103	4	2.58065
ZNF443	14	3.27103	4	2.58065
ZNF479	14	3.27103	5	3.22581
ZNF483	14	3.27103	3	1.93548
ZNF592	14	3.27103	2	1.29032
ZNF607	14	3.27103	5	3.22581
ZNF827	14	3.27103	1	0.645161
ZNF836	14	3.27103	6	3.87097
ZRANB3	14	3.27103	2	1.29032
ZXDA	14	3.27103	4	2.58065
AATK	13	3.03738	4	2.58065
ABCB8	13	3.03738	2	1.29032
ABCF3	13	3.03738	1	0.645161
ABLIM2	13	3.03738	1	0.645161
ACAP1	13	3.03738	3	1.93548
ACKR3	13	3.03738	3	1.93548
ACSS3	13	3.03738	4	2.58065
ADAM10	13	3.03738	1	0.645161
ADAM11	13	3.03738	1	0.645161
ADAM2	13	3.03738	4	2.58065
ADAMDEC1	13	3.03738	2	1.29032
ADAMTS6	13	3.03738	4	2.58065
ADCY3	13	3.03738	2	1.29032
ADCY4	13	3.03738	2	1.29032
ADCY7	13	3.03738	3	1.93548
ADNP2	13	3.03738	3	1.93548
AFF1	13	3.03738	2	1.29032
AFP	13	3.03738	2	1.29032
AGBL1	13	3.03738	6	3.87097
AGO1	13	3.03738	1	0.645161
AHRR	13	3.03738	0	0
AL136295.1	13	3.03738	4	2.58065
ALG13	13	3.03738	3	1.93548
ALG8	13	3.03738	2	1.29032
ANAPC1	13	3.03738	3	1.93548
ANGPT2	13	3.03738	0	0
ANGPT4	13	3.03738	2	1.29032
AOC2	13	3.03738	0	0
AP3B2	13	3.03738	2	1.29032
APBB3	13	3.03738	0	0
ARHGAP11A	13	3.03738	6	3.87097
ARHGAP17	13	3.03738	2	1.29032
ARHGAP29	13	3.03738	4	2.58065
ARNTL2	13	3.03738	2	1.29032
ARSJ	13	3.03738	3	1.93548
ASAP1	13	3.03738	4	2.58065
ASB5	13	3.03738	2	1.29032
ATF5	13	3.03738	0	0
ATP1A3	13	3.03738	3	1.93548
ATP2C1	13	3.03738	3	1.93548
ATP2C2	13	3.03738	3	1.93548
AVPR1A	13	3.03738	2	1.29032
BCR	13	3.03738	3	1.93548
BEND2	13	3.03738	2	1.29032
BMPER	13	3.03738	3	1.93548
BMPR1B	13	3.03738	1	0.645161
BRD2	13	3.03738	1	0.645161
C1S	13	3.03738	3	1.93548
CAMK2G	13	3.03738	1	0.645161
CARD10	13	3.03738	1	0.645161
CARMIL2	13	3.03738	1	0.645161
CCAR2	13	3.03738	3	1.93548
CCDC102B	13	3.03738	2	1.29032
CCDC18	13	3.03738	2	1.29032
CCDC40	13	3.03738	3	1.93548
CD180	13	3.03738	2	1.29032
CD22	13	3.03738	4	2.58065
CD248	13	3.03738	1	0.645161
CDH13	13	3.03738	4	2.58065
CDH7	13	3.03738	1	0.645161
CDHR2	13	3.03738	6	3.87097
CDK14	13	3.03738	1	0.645161
CEBPZ	13	3.03738	1	0.645161
CEP70	13	3.03738	3	1.93548
CEP83	13	3.03738	4	2.58065
CFAP70	13	3.03738	2	1.29032
CFAP94	13	3.03738	2	1.29032
CHAF1A	13	3.03738	2	1.29032
CHST10	13	3.03738	3	1.93548
CILP2	13	3.03738	3	1.93548
CIZ1	13	3.03738	1	0.645161
CLCA1	13	3.03738	3	1.93548
CNGA3	13	3.03738	4	2.58065
CNR1	13	3.03738	3	1.93548
COBLL1	13	3.03738	6	3.87097
COL25A1	13	3.03738	1	0.645161
CP	13	3.03738	5	3.22581
CPEB2	13	3.03738	3	1.93548
CPSF6	13	3.03738	1	0.645161
CPXCR1	13	3.03738	4	2.58065
CPXM1	13	3.03738	6	3.87097
CPXM2	13	3.03738	5	3.22581
CRISPLD1	13	3.03738	2	1.29032
CSF2RA	13	3.03738	4	2.58065
CSPP1	13	3.03738	4	2.58065
CTDP1	13	3.03738	2	1.29032
CYP20A1	13	3.03738	1	0.645161
CYP4B1	13	3.03738	2	1.29032
DCAF6	13	3.03738	2	1.29032
DCST1	13	3.03738	0	0
DCST2	13	3.03738	1	0.645161
DDR1	13	3.03738	1	0.645161
DDX23	13	3.03738	3	1.93548
DDX43	13	3.03738	3	1.93548
DDX47	13	3.03738	0	0
DENND1C	13	3.03738	2	1.29032
DENND2B	13	3.03738	2	1.29032
DGKH	13	3.03738	6	3.87097
DHX36	13	3.03738	7	4.51613
DKK2	13	3.03738	2	1.29032
DLL1	13	3.03738	4	2.58065
DNAI2	13	3.03738	1	0.645161
DNM1	13	3.03738	3	1.93548
DNM2	13	3.03738	5	3.22581
DOC2A	13	3.03738	1	0.645161
DOK5	13	3.03738	2	1.29032
DPP8	13	3.03738	3	1.93548
DPY19L2	13	3.03738	2	1.29032
DSTYK	13	3.03738	1	0.645161
DTX4	13	3.03738	0	0
DYRK3	13	3.03738	2	1.29032
E2F8	13	3.03738	0	0
EBF3	13	3.03738	4	2.58065
EEF1A2	13	3.03738	1	0.645161
EEF2	13	3.03738	1	0.645161
EFL1	13	3.03738	2	1.29032
EIF3B	13	3.03738	1	0.645161
EIF4G2	13	3.03738	3	1.93548
EMC1	13	3.03738	3	1.93548
EPN1	13	3.03738	3	1.93548
ERBB2	13	3.03738	7	4.51613
ERG	13	3.03738	2	1.29032
ESCO1	13	3.03738	5	3.22581
ESCO2	13	3.03738	2	1.29032
ESF1	13	3.03738	4	2.58065
ESYT3	13	3.03738	3	1.93548
ETV5	13	3.03738	3	1.93548
EXOC6B	13	3.03738	7	4.51613
EXOSC10	13	3.03738	0	0
EZH2	13	3.03738	1	0.645161
FAM120B	13	3.03738	3	1.93548
FAM71B	13	3.03738	4	2.58065
FAM83C	13	3.03738	1	0.645161
FAM9A	13	3.03738	2	1.29032
FBXL18	13	3.03738	0	0
FBXO21	13	3.03738	3	1.93548
FETUB	13	3.03738	0	0
FGA	13	3.03738	7	4.51613
FGD2	13	3.03738	2	1.29032
FGFR1	13	3.03738	2	1.29032
FNBP1	13	3.03738	2	1.29032
FOXI1	13	3.03738	4	2.58065
FOXP2	13	3.03738	6	3.87097
FTSJ3	13	3.03738	2	1.29032
FYN	13	3.03738	1	0.645161
FZD2	13	3.03738	0	0
FZD6	13	3.03738	3	1.93548
