MAP1A	32	6
NUP205	32	4
PKD1	32	3
PRDM9	32	5
PREX2	32	7
REV3L	32	5
SCN3A	32	8
SETX	32	8
SPEN	32	3
STAB1	32	4
USP9X	32	6
ZNF804B	32	12
ACACB	31	3
ADAMTS20	31	8
ADCY8	31	5
AFF2	31	6
AKAP6	31	10
ALMS1	31	10
ATRX	31	8
CHD6	31	8
CNTNAP2	31	7
DAPK1	31	4
DCAF4L2	31	5
DIDO1	31	4
DLC1	31	7
DMXL2	31	7
EPG5	31	6
EPHA3	31	4
FAM47C	31	8
HELZ2	31	2
ITPR1	31	6
LARP4B	31	2
MIDEAS	31	3
MYH2	31	7
NCOR2	31	3
PCDHA8	31	5
PEG3	31	12
SCN2A	31	6
SLITRK1	31	9
SPTB	31	6
SPTBN1	31	2
SVEP1	31	8
TCERG1	31	4
TIAM1	31	9
TNRC6B	31	6
ACACA	30	6
ADAMTSL3	30	6
ADGRG4	30	10
ALK	30	3
ARID2	30	6
CACNA1C	30	5
CENPF	30	8
CHD9	30	7
COL4A1	30	4
CPAMD8	30	6
DISP3	30	5
DLG2	30	7
FASN	30	2
FLNB	30	2
GPR179	30	6
GTF3C1	30	5
HSPG2	30	3
LPA	30	8
LYST	30	5
MED12	30	7
MGA	30	8
MYH7	30	5
MYH8	30	5
MYO5A	30	5
PCDH18	30	7
PLXNA1	30	4
PLXND1	30	7
PRUNE2	30	5
PTPRZ1	30	9
RIMBP2	30	6
SCN4A	30	7
SFMBT2	30	4
SPHKAP	30	8
TEAD2	30	0
TRIP12	30	6
UTRN	30	9
YLPM1	30	6
ACAN	29	7
ADAMTSL1	29	4
ADGRB3	29	8
AKAP13	29	4
CACNA1G	29	3
CARD11	29	9
CDK12	29	5
CELSR2	29	5
CEP290	29	8
CIC	29	2
COL14A1	29	5
COL4A4	29	3
CTNNB1	29	6
CUL9	29	6
DMXL1	29	9
DOCK5	29	6
DOCK8	29	5
FAM135B	29	8
FLT4	29	3
GPR158	29	9
IGSF10	29	7
KCNA4	29	8
LAMA4	29	4
LTBP2	29	2
MGAM	29	5
MTUS2	29	4
NOTCH3	29	5
NUGGC	29	4
PKDREJ	29	6
POLE	29	6
RGS12	29	0
SALL1	29	9
SIPA1L1	29	4
SLIT1	29	4
TCF20	29	4
TCHH	29	5
THSD7A	29	6
TRPC4	29	9
ZC3H13	29	7
ATG2A	28	3
CACNA1D	28	3
CACNA1F	28	6
CADPS	28	6
CDH18	28	5
CHD3	28	3
COL18A1	28	3
COL1A2	28	6
DLGAP2	28	3
GREB1	28	6
GRM5	28	5
IRS4	28	5
ITPR2	28	6
KCNH7	28	7
KIAA1217	28	5
MED12L	28	7
MTCL1	28	3
MYH13	28	5
MYH6	28	6
MYO7A	28	5
NBEAL2	28	4
NLRP7	28	7
NPAP1	28	6
PCDHB7	28	6
PKD1L1	28	7
PLCG2	28	7
PLXNB1	28	1
PLXNB3	28	4
POLQ	28	7
PTPRC	28	10
RANBP2	28	6
SRRM2	28	3
TRPM3	28	7
TULP4	28	5
USF3	28	6
WDFY3	28	6
XYLT2	28	1
ABCA2	27	5
ADAMTS12	27	7
ADAMTS9	27	6
ANK1	27	9
ARID1B	27	4
AXIN2	27	5
BRINP3	27	5
C3	27	4
CDH2	27	5
CEP170	27	8
CFH	27	5
CHD5	27	6
CHL1	27	4
CLUH	27	1
COL5A2	27	8
DENND4B	27	4
DOP1A	27	3
GRIA1	27	5
GRIA2	27	8
HRNR	27	7
KATNIP	27	4
KIAA1549	27	3
LAMC3	27	2
MIA3	27	4
MPDZ	27	7
NCOR1	27	5
NEXMIF	27	7
NSD1	27	6
PCDHB2	27	5
PCDHGA5	27	2
PTEN	27	8
PTPN13	27	8
RPL22	27	1
SCAF4	27	4
SHANK1	27	6
SHPRH	27	7
STAB2	27	6
SYCP2	27	6
TANC2	27	3
TENM4	27	8
TET3	27	3
TRHDE	27	5
