Gene	COAD_mutated	READ_mutated	Odds_Ratio	P_value	FDR	Significant_FDR_0.05
BRAF	62	5	5.081967213114754	5.438761539004301e-05	0.0004125512245048	True
PIK3CA	127	22	2.550739957716702	0.0001031378061262	0.0004125512245048	True
TP53	234	111	0.4781276121482307	0.0002744326978884	0.0007318205277023999	True
APC	307	125	0.6089256198347107	0.0323547264768553	0.0647094529537106	False
NRAS	21	15	0.4815724815724815	0.0494532869656351	0.07912525914501616	False
SMAD4	47	23	0.7079767203012667	0.2479832197438231	0.3306442929917641	False
KRAS	183	63	1.0907677356656948	0.7043801082879029	0.8050058380433176	False
FBXW7	71	26	0.986748545572075	1.0	1.0	False
